state_abbr,year,quarter,utilization_type,moud_generic,ndc,scripts,total_reimb,medicaid_reimb,nonmedicaid_reimb,suppressed_cells
AK,1991,2,FFSU,Methadone,00054355563,0,0,0,0,1
AK,1991,3,FFSU,Methadone,00054355563,0,0,0,0,1
AK,1991,3,FFSU,Methadone,00054355663,0,0,0,0,1
AK,1992,4,FFSU,Methadone,00054355563,0,0,0,0,1
AK,1992,4,FFSU,Methadone,00054355663,0,0,0,0,1
AK,1993,1,FFSU,Methadone,00054355563,0,0,0,0,1
AK,1993,1,FFSU,Methadone,00054355663,13,556.9,0,0,0
AK,1993,2,FFSU,Methadone,00054355663,0,0,0,0,1
AK,1993,3,FFSU,Methadone,00054355663,0,0,0,0,1
AK,1993,4,FFSU,Methadone,00054355563,0,0,0,0,1
AK,1994,1,FFSU,Methadone,00054355563,0,0,0,0,1
AK,1994,2,FFSU,Methadone,00054355563,0,0,0,0,1
AK,1994,2,FFSU,Methadone,00054355663,0,0,0,0,1
AK,1994,3,FFSU,Methadone,00054355563,0,0,0,0,1
AK,1995,2,FFSU,Methadone,00054355563,0,0,0,0,1
AK,1995,3,FFSU,Methadone,00054355563,0,0,0,0,1
AK,1995,4,FFSU,Methadone,00054355563,0,0,0,0,1
AK,1996,1,FFSU,Methadone,00054355563,0,0,0,0,1
AK,1996,1,FFSU,Methadone,00054453825,0,0,0,0,1
AK,1996,2,FFSU,Methadone,00054355563,0,0,0,0,1
AK,1996,2,FFSU,Methadone,00054453825,0,0,0,0,1
AK,1996,3,FFSU,Methadone,00054355563,0,0,0,0,1
AK,1996,3,FFSU,Methadone,00054453825,0,0,0,0,1
AK,1996,4,FFSU,Methadone,00054355563,0,0,0,0,1
AK,1996,4,FFSU,Methadone,00054355663,0,0,0,0,1
AK,1996,4,FFSU,Methadone,00054453825,0,0,0,0,1
AK,1997,1,FFSU,Methadone,00054355563,0,0,0,0,1
AK,1997,1,FFSU,Methadone,00054355663,0,0,0,0,1
AK,1997,1,FFSU,Methadone,00054453825,0,0,0,0,1
AK,1997,2,FFSU,Methadone,00054355663,0,0,0,0,1
AK,1997,2,FFSU,Methadone,00054453825,0,0,0,0,1
AK,1997,3,FFSU,Methadone,00054355563,0,0,0,0,1
AK,1997,3,FFSU,Methadone,00054453825,25,887.8,0,0,0
AK,1997,4,FFSU,Methadone,00054355563,0,0,0,0,1
AK,1997,4,FFSU,Methadone,00054453825,30,1217.85,0,0,0
AK,1998,1,FFSU,Methadone,00054355563,0,0,0,0,1
AK,1998,1,FFSU,Methadone,00054453825,34,1529.18,0,0,0
AK,1998,2,FFSU,Methadone,00054453825,26,1442,0,0,0
AK,1998,3,FFSU,Methadone,00054355563,0,0,0,0,1
AK,1998,3,FFSU,Methadone,00054453825,29,1484.12,0,0,0
AK,1998,4,FFSU,Methadone,00054355563,0,0,0,0,1
AK,1998,4,FFSU,Methadone,00054355663,0,0,0,0,1
AK,1998,4,FFSU,Methadone,00054453825,36,1740.71,0,0,0
AK,1999,1,FFSU,Methadone,00054453825,40,2308.66,0,0,0
