state_abbr,year,quarter,moud_generic,utilization_type,number_of_prescriptions,total_amount_reimbursed,medicaid_amount_reimbursed,non_medicaid_amount_reimbursed,scripts_per100k,total_reimb_per100k,medicaid_reimb_per100k,nonmedicaid_reimb_per100k,pop
AK,1991,2,Methadone,FFSU,0,0,0,0,0,0,0,0,NA
AK,1991,3,Methadone,FFSU,0,0,0,0,0,0,0,0,NA
AK,1992,4,Methadone,FFSU,0,0,0,0,0,0,0,0,NA
AK,1993,1,Methadone,FFSU,13,556.9,0,0,2.177579971624458,93.2841758613585,0,0,NA
AK,1993,2,Methadone,FFSU,0,0,0,0,0,0,0,0,NA
AK,1993,3,Methadone,FFSU,0,0,0,0,0,0,0,0,NA
AK,1993,4,Methadone,FFSU,0,0,0,0,0,0,0,0,NA
AK,1994,1,Methadone,FFSU,0,0,0,0,0,0,0,0,NA
AK,1994,2,Methadone,FFSU,0,0,0,0,0,0,0,0,NA
AK,1994,3,Methadone,FFSU,0,0,0,0,0,0,0,0,NA
AK,1995,2,Methadone,FFSU,0,0,0,0,0,0,0,0,NA
AK,1995,3,Methadone,FFSU,0,0,0,0,0,0,0,0,NA
AK,1995,4,Methadone,FFSU,0,0,0,0,0,0,0,0,NA
AK,1996,1,Methadone,FFSU,0,0,0,0,0,0,0,0,NA
AK,1996,2,Methadone,FFSU,0,0,0,0,0,0,0,0,NA
AK,1996,3,Methadone,FFSU,0,0,0,0,0,0,0,0,NA
AK,1996,4,Methadone,FFSU,0,0,0,0,0,0,0,0,NA
AK,1997,1,Methadone,FFSU,0,0,0,0,0,0,0,0,NA
AK,1997,2,Methadone,FFSU,0,0,0,0,0,0,0,0,NA
AK,1997,3,Methadone,FFSU,25,887.8,0,0,4.106128643367946,145.81684038328248,0,0,NA
AK,1997,4,Methadone,FFSU,30,1217.85,0,0,4.927354372041535,200.02595073302606,0,0,NA
AK,1998,1,Methadone,FFSU,34,1529.18,0,0,5.5266130801927815,248.56429970497638,0,0,NA
AK,1998,2,Methadone,FFSU,26,1442,0,0,4.2262335319121265,234.39341357758795,0,0,NA
AK,1998,3,Methadone,FFSU,29,1484.12,0,0,4.713875862517372,241.2399118992856,0,0,NA
AK,1998,4,Methadone,FFSU,36,1740.71,0,0,5.851707967262945,282.94796043595227,0,0,NA
AK,1999,1,Methadone,FFSU,40,2308.66,0,0,6.402263840493998,369.5162609498719,0,0,NA
AK,1999,2,Methadone,FFSU,18,1186.53,0,0,2.8810187282222994,189.9119528665336,0,0,NA
AK,1999,3,Methadone,FFSU,17,1199.24,0,0,2.7209621322099493,191.94627220185058,0,0,NA
AK,1999,4,Methadone,FFSU,15,1010.35,0,0,2.4008489401852495,161.7131817810778,0,0,NA
AK,2000,1,Methadone,FFSU,57,9308.88,0,0,9.07696791052976,1482.393070929338,0,0,NA
AK,2000,2,Methadone,FFSU,30,1232.78,0,0,4.777351531857769,196.31411404812067,0,0,NA
AK,2000,3,Methadone,FFSU,39,1635.8,0,0,6.210556991415099,260.4930545270979,0,0,NA
AK,2000,4,Methadone,FFSU,59,1944,0,0,9.395458012653611,309.5723792643834,0,0,NA
AK,2000,4,Naltrexone,FFSU,0,0,0,0,0,0,0,0,NA
AK,2001,1,Methadone,FFSU,72,2355.62,0,0,11.36159213777824,371.7165787721275,0,0,NA
AK,2001,1,Naltrexone,FFSU,0,0,0,0,0,0,0,0,NA
AK,2001,2,Methadone,FFSU,107,3319.14,0,0,16.884588315864885,523.7599295581288,0,0,NA
AK,2001,2,Naltrexone,FFSU,0,0,0,0,0,0,0,0,NA
AK,2001,3,Methadone,FFSU,92,2874.46,0,0,14.517589953827752,453.5894741160839,0,0,NA
AK,2001,3,Naltrexone,FFSU,0,0,0,0,0,0,0,0,NA
AK,2001,4,Methadone,FFSU,83,2280.62,0,0,13.097390936605471,359.8815869619418,0,0,NA
AK,2002,1,Methadone,FFSU,126,3320.3,0,0,19.61587141951966,516.9093482081836,0,0,NA
AK,2002,1,Naltrexone,FFSU,0,0,0,0,0,0,0,0,NA
AK,2002,2,Methadone,FFSU,154,4328.45,0,0,23.974953957190696,673.8596717922212,0,0,NA
AK,2002,2,Naltrexone,FFSU,13,581.98,0,0,2.023859749632981,90.60353054549248,0,0,NA
AK,2002,3,Methadone,FFSU,184,6115.62,0,0,28.645399533266804,952.0890124654193,0,0,NA
AK,2002,3,Naltrexone,FFSU,0,0,0,0,0,0,0,0,NA
AK,2002,4,Methadone,FFSU,158,5404.86,0,0,24.597680034000845,841.4368158770241,0,0,NA
AK,2002,4,Naltrexone,FFSU,13,672.52,0,0,2.023859749632981,104.69893529409018,0,0,NA
AK,2003,1,Methadone,FFSU,128,4411.280000000001,0,0,19.740474449965607,680.3184385284711,0,0,NA
AK,2003,1,Naltrexone,FFSU,14,829.49,0,0,2.1591143929649883,127.92598555860916,0,0,NA
AK,2003,2,Methadone,FFSU,81,3188.9900000000002,0,0,12.492018987868862,491.8138720015299,0,0,NA
AK,2003,2,Naltrexone,FFSU,0,0,0,0,0,0,0,0,NA
AK,2003,3,Methadone,FFSU,68,2281.69,0,0,10.48712705154423,351.8878370917346,0,0,NA
AK,2003,3,Naltrexone,FFSU,0,0,0,0,0,0,0,0,NA
AK,2003,4,Methadone,FFSU,53,1976.9299999999998,0,0,8.173790201938886,304.8870012060196,0,0,NA
AK,2004,1,Methadone,FFSU,40,1487.36,1487.36,0,6.06716963502941,225.6016357089336,225.6016357089336,0,NA
AK,2004,1,Naltrexone,FFSU,0,0,0,0,0,0,0,0,NA
AK,2004,2,Methadone,FFSU,16,443.79,0,0,2.426867854011764,67.31373030824255,0,0,NA
AK,2004,2,Naltrexone,FFSU,0,0,0,0,0,0,0,0,NA
AK,2004,3,Methadone,FFSU,19,580.43,0,0,2.88190557663897,88.039181781503,0,0,NA
AK,2004,3,Naltrexone,FFSU,0,0,0,0,0,0,0,0,NA
AK,2004,4,Methadone,FFSU,19,532.2,0,0,2.88190557663897,80.72369199406631,0,0,NA
AK,2004,4,Naltrexone,FFSU,0,0,0,0,0,0,0,0,NA
AK,2005,1,Methadone,FFSU,25,722.55,0,0,3.748429408078015,108.3371067522708,0,0,NA
AK,2005,1,Naltrexone,FFSU,0,0,0,0,0,0,0,0,NA
AK,2005,2,Methadone,FFSU,42,1274.17,377.64,2.86,6.297361405571066,191.0454519556306,56.622275266663266,0.428820324284125,NA
AK,2005,2,Naltrexone,FFSU,15,2612.06,0,0,2.2490576448468094,391.6449007865704,0,0,NA
AK,2005,3,Methadone,FFSU,52,1648.27,0,0,7.796733168802271,247.13694961811,0,0,NA
AK,2005,3,Naltrexone,FFSU,0,0,0,0,0,0,0,0,NA
AK,2005,4,Methadone,FFSU,33,1028.07,0,0,4.94792681866298,154.1459128625106,0,0,NA
AK,2005,4,Naltrexone,FFSU,0,0,0,0,0,0,0,0,NA
AK,2006,1,Methadone,FFSU,30,997.05,0,0,4.44245685633983,147.64505362045426,0,0,NA
AK,2006,1,Naltrexone,FFSU,0,0,0,0,0,0,0,0,NA
AK,2006,2,Methadone,FFSU,71,1814.82,0,0,10.513814560004265,268.7419850674217,0,0,NA
AK,2006,2,Naltrexone,FFSU,0,0,0,0,0,0,0,0,NA
AK,2006,3,Methadone,FFSU,154,4016.52,3378.11,109.26,22.804611862544462,594.7738937542018,500.23693103233813,16.179427870789663,NA
AK,2006,3,Naltrexone,FFSU,0,0,0,0,0,0,0,0,NA
AK,2006,4,Methadone,FFSU,280,6343.41,0,0,41.46293065917175,939.344174902488,0,0,NA
AK,2006,4,Naltrexone,FFSU,0,0,0,0,0,0,0,0,NA
AK,2007,1,Methadone,FFSU,311,7323.55,227.1,0,45.71512567984713,1076.5177127737763,33.3823313244157,0,NA
AK,2007,1,Naltrexone,FFSU,0,0,0,0,0,0,0,0,NA
AK,2007,2,Methadone,FFSU,358,8575.45,7411.18,7.67,52.623842422460676,1260.539467881817,1089.3987946494194,1.127443774805233,NA
AK,2007,2,Naltrexone,FFSU,0,0,0,0,0,0,0,0,NA
AK,2007,3,Methadone,FFSU,313,6679.4400000000005,5840.01,4.16,46.00911362634132,981.8374246655887,858.4462737027782,0.611494928707923,NA
AK,2007,3,Naltrexone,FFSU,0,0,0,0,0,0,0,0,NA
AK,2007,4,Methadone,FFSU,337,7097.2,7090.67,6.53,49.536968984271645,1043.245626929296,1042.2857562839924,0.9598706453035426,NA
AK,2007,4,Naltrexone,FFSU,0,0,0,0,0,0,0,0,NA
AK,2008,1,Methadone,FFSU,405,8990.73,8964.91,25.82,58.912947029260096,1307.8281487515546,1304.0722665483559,3.755882203198755,NA
AK,2008,1,Naltrexone,FFSU,0,0,0,0,0,0,0,0,NA
AK,2008,2,Methadone,FFSU,321,7250.73,7234.83,15.9,46.69396542319134,1054.7206726258446,1052.4077939646959,2.3128786611487295,NA
AK,2008,3,Methadone,FFSU,321,7322.8,7301.69,21.11,46.69396542319134,1065.2042679157182,1062.1335214668597,3.0707464488584706,NA
AK,2008,3,Naltrexone,FFSU,0,0,0,0,0,0,0,0,NA
