state_abbr,year,pop,source,source_url
AK,1991,569273,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AK,1992,587073,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AK,1993,596993,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AK,1994,600624,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AK,1995,601345,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AK,1996,604918,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AK,1997,608846,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AK,1998,615205,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AK,1999,624779,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AK,2000,627963,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AK,2001,633714,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AK,2002,642337,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AK,2003,648414,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AK,2004,659286,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AK,2005,666946,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AK,2006,675302,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AK,2007,680300,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AK,2008,687455,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AK,2009,698895,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AK,2010,714050,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AK,2011,722613,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AK,2012,731262,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AK,2013,738242,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AK,2014,737822,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AK,2015,739287,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AK,2016,743517,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AK,2017,741990,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AK,2018,737758,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AK,2019,734875,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AK,2020,732906,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
AK,2021,734590,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
AK,2022,733659,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
AK,2023,734654,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
AK,2024,736537,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
AL,1991,4091025,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AL,1992,4139269,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AL,1993,4193114,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AL,1994,4232965,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AL,1995,4262731,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AL,1996,4290403,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AL,1997,4320281,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AL,1998,4351037,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AL,1999,4430141,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AL,2000,4452173,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AL,2001,4467634,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AL,2002,4480089,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AL,2003,4503491,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AL,2004,4530729,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AL,2005,4565917,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AL,2006,4628981,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AL,2007,4672840,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AL,2008,4718206,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AL,2009,4757938,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AL,2010,4787904,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AL,2011,4811997,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AL,2012,4838981,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AL,2013,4864024,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AL,2014,4886309,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AL,2015,4907699,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AL,2016,4930123,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AL,2017,4951594,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AL,2018,4975865,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AL,2019,5003062,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AL,2020,5032962,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
AL,2021,5050058,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
AL,2022,5076868,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
AL,2023,5117850,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
AL,2024,5163055,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
AR,1991,2370666,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AR,1992,2394098,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AR,1993,2423743,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AR,1994,2450605,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AR,1995,2480121,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AR,1996,2504858,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AR,1997,2524007,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AR,1998,2538202,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AR,1999,2651860,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AR,2000,2678588,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AR,2001,2691571,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AR,2002,2705927,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AR,2003,2724816,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AR,2004,2749686,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AR,2005,2781097,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AR,2006,2821761,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AR,2007,2848650,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AR,2008,2874554,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AR,2009,2896843,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AR,2010,2921502,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AR,2011,2938746,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AR,2012,2948711,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AR,2013,2954430,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AR,2014,2960890,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AR,2015,2970103,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AR,2016,2980336,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AR,2017,2990405,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AR,2018,2996910,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AR,2019,3003985,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AR,2020,3014399,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
AR,2021,3027127,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
AR,2022,3047429,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
AR,2023,3069856,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
AR,2024,3096080,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
AZ,1991,3762394,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AZ,1992,3867333,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AZ,1993,3993390,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AZ,1994,4147561,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AZ,1995,4306908,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AZ,1996,4432308,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AZ,1997,4552207,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AZ,1998,4667277,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AZ,1999,5023823,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AZ,2000,5160586,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AZ,2001,5273477,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AZ,2002,5396255,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AZ,2003,5510364,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AZ,2004,5652404,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AZ,2005,5839077,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AZ,2006,6029141,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AZ,2007,6167681,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
