directory_year,survey_year,facility_count,warning_count,territory_count,warning_share,reviewed_listings,gold_target,qa_status
1998,1998,10068,1097,132,0.1089590782677791,30,100,Partial review
2000,1999,9667,1020,110,0.10551360297920762,0,100,Not reviewed
2001,2000,11020,836,111,0.07586206896551724,0,100,Not reviewed
2003,2002,11477,786,115,0.06848479567831314,0,100,Not reviewed
2004,2003,9907,922,172,0.09306550923589381,0,100,Not reviewed
2005,2004,10887,620,173,0.05694865435840911,0,50,Not reviewed
2006,2005,10633,622,144,0.05849713157152262,0,50,Not reviewed
2007,2006,10825,650,148,0.06004618937644342,0,50,Not reviewed
2008,2007,11124,653,143,0.05870190578928443,0,50,Not reviewed
2009,2008,11127,674,132,0.060573380066504895,0,50,Not reviewed
2010,2009,11117,606,131,0.05451110911217055,0,50,Not reviewed
2011,2010,11150,570,128,0.051121076233183856,0,50,Not reviewed
2012,2011,11410,597,132,0.052322524101665206,0,50,Not reviewed
2013,2012,11576,653,121,0.056409813407049064,0,50,Not reviewed
2014,2013,11359,649,122,0.05713531120697245,0,50,Not reviewed
2015,2014,11813,708,115,0.059933971048844494,0,50,Not reviewed
2016,2015,11610,719,104,0.06192937123169681,0,50,Not reviewed
2017,2016,11927,761,103,0.06380481261004443,0,100,Not reviewed
2018,2017,12069,613,97,0.05079128345347585,0,100,Not reviewed
2019,2018,13313,663,112,0.04980094644332607,0,50,Not reviewed
2020,2019,14069,703,100,0.04996801478427749,0,50,Not reviewed
2021,2020,14189,718,91,0.050602579462964266,0,100,Not reviewed
