directory_year,survey_year,characteristic,value,label,asked,comparable,notes
1998,1998,ownership,private_unspecified,Private (type unspecified),True,False,Earlier directories do not consistently separate private ownership type.
1998,1998,ownership,private_nonprofit,Private nonprofit,False,True,
1998,1998,ownership,private_forprofit,Private for-profit,False,True,
1998,1998,ownership,local_government,Local/county government,False,True,
1998,1998,ownership,state_government,State government,False,True,
1998,1998,ownership,tribal_government,Tribal government,False,True,
1998,1998,ownership,federal_dod,Federal: Department of Defense,False,True,
1998,1998,ownership,federal_ihs,Federal: Indian Health Service,False,True,
1998,1998,ownership,federal_va,Federal: Veterans Affairs,False,True,
1998,1998,center_type,substance_use,Substance use treatment,True,True,
1998,1998,center_type,detoxification,Detoxification,True,True,
1998,1998,center_type,transitional_housing,Transitional housing/halfway house,True,True,
1998,1998,center_type,mental_health,Mental health treatment,True,True,
1998,1998,center_type,cooccurring,Co-occurring mental health and substance use,False,True,
1998,1998,setting,outpatient,Outpatient,True,True,
1998,1998,setting,residential,Residential,True,True,
1998,1998,setting,hospital_inpatient,Hospital inpatient,True,True,
1998,1998,payment,medicare,Medicare,True,True,
1998,1998,payment,medicaid,Medicaid,True,True,
1998,1998,payment,military_insurance,Military insurance,True,True,
1998,1998,payment,private_insurance,Private health insurance,True,True,
1998,1998,payment,self_pay,Cash or self-payment,False,True,
1998,1998,payment,state_financed,State-financed insurance,False,True,
1998,1998,payment,payment_assistance,Payment assistance,True,True,
1998,1998,payment,sliding_fee,Sliding fee scale,True,True,
1998,1998,service_family,substance_use_treatment,Substance use treatment,True,True,
1998,1998,service_family,detoxification,Detoxification,True,True,
1998,1998,service_family,transitional_housing,Transitional housing/halfway house,True,True,
1998,1998,service_family,cooccurring,Co-occurring mental health and substance use treatment,False,True,
1998,1998,service_family,outpatient_treatment,Outpatient treatment,True,True,
1998,1998,service_family,residential_treatment,Residential treatment,True,True,
1998,1998,service_family,hospital_inpatient,Hospital inpatient treatment,True,True,
1998,1998,service_family,opioid_treatment_program,SAMHSA-certified opioid treatment program,False,True,
1998,1998,service_family,methadone,Methadone services,False,True,
1998,1998,service_family,buprenorphine,Buprenorphine services,True,True,
1998,1998,service_family,naltrexone,Naltrexone services,False,True,
1998,1998,service_family,telehealth,Telehealth/telemedicine,False,True,
1998,1998,original_code,AD,Adolescents,True,False,Original SAMHSA directory code; meaning and availability may vary by year.
1998,1998,original_code,AR,AR,True,False,Original SAMHSA directory code; meaning and availability may vary by year.
1998,1998,original_code,BU,Buprenorphine used in treatment,True,False,Original SAMHSA directory code; meaning and availability may vary by year.
1998,1998,original_code,CH,"Community Health Center, Migrant Health Center, Urban Indian Program, Health Care for the",True,False,Original SAMHSA directory code; meaning and availability may vary by year.
1998,1998,original_code,CJ,Criminal justice or correctional facility,True,False,Original SAMHSA directory code; meaning and availability may vary by year.
1998,1998,original_code,CM,Community Mental Health Center or other mental health facility,True,False,Original SAMHSA directory code; meaning and availability may vary by year.
1998,1998,original_code,CO,Community or religious organization/agency,True,False,Original SAMHSA directory code; meaning and availability may vary by year.
1998,1998,original_code,CT,CT,True,False,Original SAMHSA directory code; meaning and availability may vary by year.
1998,1998,original_code,DD,Dually diagnosed,True,False,Original SAMHSA directory code; meaning and availability may vary by year.
1998,1998,original_code,DT,Detoxification,True,False,Original SAMHSA directory code; meaning and availability may vary by year.
1998,1998,original_code,DU,DU,True,False,Original SAMHSA directory code; meaning and availability may vary by year.
1998,1998,original_code,FG,"Federal government (includes VA, CHAMPUS, CHAMPVA)",True,False,Original SAMHSA directory code; meaning and availability may vary by year.
1998,1998,original_code,GH,General hospital,True,False,Original SAMHSA directory code; meaning and availability may vary by year.
1998,1998,original_code,HH,Transitional housing or halfway house,True,False,Original SAMHSA directory code; meaning and availability may vary by year.
1998,1998,original_code,HI,Hospital inpatient,True,False,Original SAMHSA directory code; meaning and availability may vary by year.
1998,1998,original_code,HV,Persons with HIV/AIDS,True,False,Original SAMHSA directory code; meaning and availability may vary by year.
1998,1998,original_code,ICO,ICO,True,False,Original SAMHSA directory code; meaning and availability may vary by year.
1998,1998,original_code,ID,Hospital inpatient detoxification,True,False,Original SAMHSA directory code; meaning and availability may vary by year.
1998,1998,original_code,IO,Intensive outpatient rehabilitation,True,False,Original SAMHSA directory code; meaning and availability may vary by year.
1998,1998,original_code,IR,Hospital inpatient rehabilitation,True,False,Original SAMHSA directory code; meaning and availability may vary by year.
1998,1998,original_code,MC,Medicare,True,False,Original SAMHSA directory code; meaning and availability may vary by year.
1998,1998,original_code,MD,Medicaid,True,False,Original SAMHSA directory code; meaning and availability may vary by year.
1998,1998,original_code,MH,MH,True,False,Original SAMHSA directory code; meaning and availability may vary by year.
1998,1998,original_code,MI,Military insurance,True,False,Original SAMHSA directory code; meaning and availability may vary by year.
1998,1998,original_code,ML,Methadone/LA AM,True,False,Original SAMHSA directory code; meaning and availability may vary by year.
1998,1998,original_code,MO,MO,True,False,Original SAMHSA directory code; meaning and availability may vary by year.
1998,1998,original_code,OD,Outpatient detoxification,True,False,Original SAMHSA directory code; meaning and availability may vary by year.
1998,1998,original_code,OH,Other specialized hospital,True,False,Original SAMHSA directory code; meaning and availability may vary by year.
