year,samhsa_count,cbp_published_count,cbp_lower_bound,cbp_upper_bound,published_counties,compared_counties,county_coverage_rate,reporting_break
1998,10072,12336.0,12336.0,12336.0,3183,3183,1.0,False
1999,9588,12428.0,12428.0,12428.0,3183,3183,1.0,False
2000,10830,12556.0,12556.0,12556.0,3187,3187,1.0,False
2002,11303,13584.0,13584.0,13584.0,3189,3189,1.0,False
2003,9827,13963.0,13963.0,13963.0,3190,3190,1.0,False
2004,10801,14152.0,14152.0,14152.0,3190,3190,1.0,False
2005,10536,14397.0,14397.0,14397.0,3188,3188,1.0,False
2006,10734,14777.0,14777.0,14777.0,3188,3188,1.0,False
2007,11031,15034.0,15034.0,15034.0,3189,3189,1.0,False
2008,11040,15658.0,15658.0,15658.0,3189,3189,1.0,False
2009,11045,15868.0,15868.0,15868.0,3189,3189,1.0,False
2010,11096,16115.0,16115.0,16115.0,3189,3189,1.0,False
2011,11362,16153.0,16153.0,16153.0,3188,3188,1.0,False
2012,11521,16959.0,16959.0,16959.0,3191,3191,1.0,False
2013,11322,17085.0,17085.0,17085.0,3192,3192,1.0,False
2014,11780,17447.0,17447.0,17447.0,3192,3192,1.0,False
2015,11582,18087.0,18087.0,18087.0,3192,3192,1.0,False
2016,11885,18910.0,18910.0,18910.0,3193,3193,1.0,False
2017,12036,15036.0,17385.0,27343.0,454,3190,0.14231974921630094,True
2018,13290,15620.0,18112.0,28028.0,458,3190,0.14357366771159874,True
2019,14050,16646.0,19294.0,29066.0,480,3190,0.15047021943573669,True
2020,14168,16681.0,19278.0,29048.0,486,3190,0.1523510971786834,True
2021,12088,17876.0,20528.0,30200.0,507,3190,0.15893416927899687,True
2022,12663,19345.0,22250.0,31720.0,537,3192,0.16823308270676693,True
2023,12139,19983.0,23084.0,32534.0,530,3192,0.16604010025062657,True
2024,13354,,,,0,0,,True
