survey_year,state,facility_count,assigned_count,high_confidence_count,fallback_count,unassigned_count,assigned_share,high_confidence_share
1998,AK,58,58,38,20,0,1.0,0.6551724137931034
1998,AL,59,58,43,15,1,0.9830508474576272,0.7288135593220338
1998,AR,63,60,49,11,3,0.9523809523809523,0.7777777777777778
1998,AZ,126,124,97,27,2,0.9841269841269841,0.7698412698412699
1998,CA,1264,1250,1059,191,14,0.9889240506329114,0.8378164556962026
1998,CO,203,203,180,23,0,1.0,0.8866995073891626
1998,CT,184,181,151,30,3,0.9836956521739131,0.8206521739130435
1998,DC,53,53,44,9,0,1.0,0.8301886792452831
1998,DE,41,41,28,13,0,1.0,0.6829268292682927
1998,FL,446,438,350,88,8,0.9820627802690582,0.7847533632286996
1998,GA,167,164,126,38,3,0.9820359281437125,0.7544910179640718
1998,HI,34,34,20,14,0,1.0,0.5882352941176471
1998,IA,87,87,65,22,0,1.0,0.7471264367816092
1998,ID,41,41,35,6,0,1.0,0.8536585365853658
1998,IL,477,477,402,75,0,1.0,0.8427672955974843
1998,IN,262,261,238,23,1,0.9961832061068703,0.9083969465648855
1998,KS,132,132,109,23,0,1.0,0.8257575757575758
1998,KY,266,262,182,80,4,0.9849624060150376,0.6842105263157895
1998,LA,117,111,92,19,6,0.9487179487179487,0.7863247863247863
1998,MA,255,251,228,23,4,0.984313725490196,0.8941176470588236
1998,MD,282,278,233,45,4,0.9858156028368794,0.8262411347517731
1998,ME,153,150,102,48,3,0.9803921568627451,0.6666666666666666
1998,MI,278,278,239,39,0,1.0,0.8597122302158273
1998,MN,247,245,184,61,2,0.9919028340080972,0.7449392712550608
1998,MO,144,144,118,26,0,1.0,0.8194444444444444
1998,MS,54,52,37,15,2,0.9629629629629629,0.6851851851851852
1998,MT,40,38,30,8,2,0.95,0.75
1998,NC,180,178,151,27,2,0.9888888888888889,0.8388888888888889
1998,ND,43,39,29,10,4,0.9069767441860465,0.6744186046511628
1998,NE,110,109,81,28,1,0.990909090909091,0.7363636363636363
1998,NH,48,47,36,11,1,0.9791666666666666,0.75
1998,NJ,190,186,147,39,4,0.9789473684210527,0.7736842105263158
1998,NM,82,77,43,34,5,0.9390243902439024,0.524390243902439
1998,NV,45,45,37,8,0,1.0,0.8222222222222222
1998,NY,1061,1061,876,185,0,1.0,0.825636192271442
1998,OH,461,457,381,76,4,0.9913232104121475,0.8264642082429501
1998,OK,138,134,107,27,4,0.9710144927536232,0.7753623188405797
1998,OR,174,173,130,43,1,0.9942528735632183,0.7471264367816092
1998,PA,462,456,394,62,6,0.987012987012987,0.8528138528138528
1998,RI,26,26,22,4,0,1.0,0.8461538461538461
1998,SC,62,58,43,15,4,0.9354838709677419,0.6935483870967742
1998,SD,45,45,31,14,0,1.0,0.6888888888888889
1998,TN,134,132,114,18,2,0.9850746268656716,0.8507462686567164
1998,TX,549,547,442,105,2,0.9963570127504554,0.8051001821493625
1998,UT,104,104,89,15,0,1.0,0.8557692307692307
1998,VA,114,111,82,29,3,0.9736842105263158,0.7192982456140351
1998,VT,18,18,16,2,0,1.0,0.8888888888888888
1998,WA,302,302,247,55,0,1.0,0.8178807947019867
1998,WI,72,71,59,12,1,0.9861111111111112,0.8194444444444444
1998,WV,74,73,47,26,1,0.9864864864864865,0.6351351351351351
1998,WY,41,41,36,5,0,1.0,0.8780487804878049
1999,AK,60,60,42,18,0,1.0,0.7
1999,AL,63,62,48,14,1,0.9841269841269841,0.7619047619047619
1999,AR,58,55,48,7,3,0.9482758620689655,0.8275862068965517
1999,AZ,197,196,160,36,1,0.9949238578680203,0.8121827411167513
1999,CA,1293,1283,1051,232,10,0.9922660479505027,0.8128383604021655
1999,CO,390,390,331,59,0,1.0,0.8487179487179487
1999,CT,157,154,116,38,3,0.9808917197452229,0.7388535031847133
1999,DC,63,63,51,12,0,1.0,0.8095238095238095
1999,DE,34,34,26,8,0,1.0,0.7647058823529411
1999,FL,455,449,373,76,6,0.9868131868131869,0.8197802197802198
1999,GA,179,176,125,51,3,0.9832402234636871,0.6983240223463687
1999,HI,21,21,10,11,0,1.0,0.47619047619047616
1999,IA,75,75,59,16,0,1.0,0.7866666666666666
1999,ID,36,36,32,4,0,1.0,0.8888888888888888
1999,IL,411,411,307,104,0,1.0,0.7469586374695864
1999,IN,224,224,172,52,0,1.0,0.7678571428571429
1999,KS,154,151,100,51,3,0.9805194805194806,0.6493506493506493
1999,KY,235,231,146,85,4,0.9829787234042553,0.6212765957446809
1999,LA,99,95,61,34,4,0.9595959595959596,0.6161616161616161
1999,MA,227,227,179,48,0,1.0,0.788546255506608
1999,MD,254,252,182,70,2,0.9921259842519685,0.7165354330708661
1999,ME,118,118,72,46,0,1.0,0.6101694915254238
1999,MI,146,144,2,142,2,0.9863013698630136,0.0136986301369863
1999,MN,201,198,0,198,3,0.9850746268656716,0.0
1999,MO,177,175,0,175,2,0.9887005649717514,0.0
1999,MS,78,69,0,69,9,0.8846153846153846,0.0
1999,MT,28,26,0,26,2,0.9285714285714286,0.0
1999,NC,213,205,0,205,8,0.9624413145539906,0.0
1999,ND,36,35,0,35,1,0.9722222222222222,0.0
1999,NE,82,81,0,81,1,0.9878048780487805,0.0
1999,NH,27,27,0,27,0,1.0,0.0
1999,NJ,214,203,0,203,11,0.9485981308411215,0.0
1999,NM,75,67,0,67,8,0.8933333333333333,0.0
1999,NV,22,22,0,22,0,1.0,0.0
1999,NY,1046,1044,0,1044,2,0.9980879541108987,0.0
1999,OH,306,297,0,297,9,0.9705882352941176,0.0
