year,directory_count,cbp_published_count,cbp_lower_bound,cbp_upper_bound,common_support_share,county_cells,geography_type,geography,reporting_break
1998,9961,12336,12336,12336,0.997805642633229,3190,national,US,FALSE
1999,9501,12428,12428,12428,0.997492948918834,3191,national,US,FALSE
2000,10748,12556,12556,12556,0.997496087636933,3195,national,US,FALSE
2002,11215,13584,13584,13584,0.9981220657277,3195,national,US,FALSE
2003,9688,13963,13963,13963,0.998122653316646,3196,national,US,FALSE
2004,10660,14152,14152,14152,0.998122653316646,3196,national,US,FALSE
2005,10418,14397,14397,14397,0.99874686716792,3192,national,US,FALSE
2006,10608,14777,14777,14777,0.99874686716792,3192,national,US,FALSE
2007,10911,15034,15034,15034,0.998434564809017,3194,national,US,FALSE
2008,10931,15658,15658,15658,0.9981220657277,3195,national,US,FALSE
2009,10938,15868,15868,15868,0.997809762202753,3196,national,US,FALSE
2010,10992,16115,16115,16115,0.998434564809017,3194,national,US,FALSE
2011,11254,16153,16153,16153,0.998434074538052,3193,national,US,FALSE
2012,11423,16959,16959,16959,0.99906073888541,3194,national,US,FALSE
2013,11224,17085,17085,17085,0.99906103286385,3195,national,US,FALSE
2014,11687,17447,17447,17447,0.99906103286385,3195,national,US,FALSE
2015,11496,18087,18087,18087,0.99906103286385,3195,national,US,FALSE
2016,11804,18910,18910,18910,0.999061326658323,3196,national,US,FALSE
2017,11955,15036,17385,27343,0.142230576441103,3192,national,US,TRUE
2018,13196,15620,18112,28028,0.143483709273183,3192,national,US,TRUE
2019,13966,16646,19294,29066,0.150375939849624,3192,national,US,TRUE
2020,14091,16681,19278,29048,0.152255639097744,3192,national,US,TRUE
2021,12038,17876,20528,30200,0.158834586466165,3192,national,US,TRUE
2022,12609,19345,22250,31720,0.1678125,3200,national,US,TRUE
2023,12096,19983,23084,32534,0.165625,3200,national,US,TRUE
2024,13304,,,,0,2193,national,US,TRUE
1998,58,41,41,41,0.848484848484848,33,state,AK,FALSE
1999,60,39,39,39,0.848484848484848,33,state,AK,FALSE
2000,61,39,39,39,0.848484848484848,33,state,AK,FALSE
2002,56,40,40,40,0.848484848484848,33,state,AK,FALSE
2003,53,45,45,45,0.848484848484848,33,state,AK,FALSE
2004,49,43,43,43,0.823529411764706,34,state,AK,FALSE
2005,50,41,41,41,0.875,32,state,AK,FALSE
2006,51,40,40,40,0.875,32,state,AK,FALSE
2007,54,37,37,37,0.848484848484848,33,state,AK,FALSE
2008,53,45,45,45,0.848484848484848,33,state,AK,FALSE
2009,62,46,46,46,0.823529411764706,34,state,AK,FALSE
2010,56,48,48,48,0.848484848484848,33,state,AK,FALSE
2011,58,56,56,56,0.875,32,state,AK,FALSE
2012,69,61,61,61,0.9375,32,state,AK,FALSE
2013,71,61,61,61,0.9375,32,state,AK,FALSE
2014,72,60,60,60,0.9375,32,state,AK,FALSE
2015,80,59,59,59,0.9375,32,state,AK,FALSE
2016,79,57,57,57,0.9375,32,state,AK,FALSE
2017,84,49,61,163,0.09375,32,state,AK,TRUE
2018,89,55,61,167,0.09375,32,state,AK,TRUE
2019,90,61,67,173,0.09375,32,state,AK,TRUE
2020,95,65,71,177,0.09375,32,state,AK,TRUE
2021,81,71,78,184,0.09375,32,state,AK,TRUE
2022,71,75,91,197,0.0967741935483871,31,state,AK,TRUE
2023,79,79,85,189,0.129032258064516,31,state,AK,TRUE
2024,78,,,,0,20,state,AK,TRUE
1998,58,175,175,175,1,68,state,AL,FALSE
1999,62,164,164,164,1,68,state,AL,FALSE
2000,58,160,160,160,1,68,state,AL,FALSE
2002,71,203,203,203,1,68,state,AL,FALSE
2003,74,229,229,229,1,68,state,AL,FALSE
2004,81,241,241,241,1,68,state,AL,FALSE
2005,82,249,249,249,1,68,state,AL,FALSE
2006,86,246,246,246,1,68,state,AL,FALSE
2007,91,246,246,246,1,68,state,AL,FALSE
2008,90,231,231,231,1,68,state,AL,FALSE
2009,97,237,237,237,1,68,state,AL,FALSE
2010,93,172,172,172,1,68,state,AL,FALSE
2011,102,171,171,171,1,68,state,AL,FALSE
2012,98,159,159,159,1,68,state,AL,FALSE
2013,124,161,161,161,1,68,state,AL,FALSE
2014,125,180,180,180,1,68,state,AL,FALSE
2015,121,213,213,213,1,68,state,AL,FALSE
2016,119,207,207,207,1,68,state,AL,FALSE
2017,116,117,154,384,0.0882352941176471,68,state,AL,TRUE
2018,121,122,160,386,0.102941176470588,68,state,AL,TRUE
2019,128,132,161,383,0.132352941176471,68,state,AL,TRUE
2020,131,112,151,375,0.102941176470588,68,state,AL,TRUE
2021,108,120,151,381,0.102941176470588,68,state,AL,TRUE
2022,126,124,170,392,0.102941176470588,68,state,AL,TRUE
2023,124,108,155,377,0.102941176470588,68,state,AL,TRUE
2024,112,,,,0,43,state,AL,TRUE
1998,60,114,114,114,1,76,state,AR,FALSE
1999,55,116,116,116,1,76,state,AR,FALSE
2000,39,104,104,104,1,76,state,AR,FALSE
2002,42,111,111,111,1,76,state,AR,FALSE
2003,37,145,145,145,1,76,state,AR,FALSE
2004,41,150,150,150,1,76,state,AR,FALSE
2005,35,155,155,155,1,76,state,AR,FALSE
2006,35,157,157,157,1,76,state,AR,FALSE
2007,34,181,181,181,1,76,state,AR,FALSE
2008,39,206,206,206,1,76,state,AR,FALSE
2009,31,198,198,198,1,76,state,AR,FALSE
2010,39,210,210,210,1,76,state,AR,FALSE
2011,57,202,202,202,1,76,state,AR,FALSE
2012,70,188,188,188,1,76,state,AR,FALSE
2013,62,188,188,188,1,76,state,AR,FALSE
2014,58,194,194,194,1,76,state,AR,FALSE
2015,59,182,182,182,1,76,state,AR,FALSE
2016,85,182,182,182,1,76,state,AR,FALSE
2017,91,66,117,383,0.0394736842105263,76,state,AR,TRUE
2018,131,77,128,390,0.0526315789473684,76,state,AR,TRUE
2019,148,79,147,401,0.0394736842105263,76,state,AR,TRUE
2020,157,85,155,405,0.0657894736842105,76,state,AR,TRUE
2021,119,106,188,432,0.0789473684210526,76,state,AR,TRUE
2022,109,136,221,455,0.105263157894737,76,state,AR,TRUE
2023,99,147,244,478,0.105263157894737,76,state,AR,TRUE
2024,137,,,,0,55,state,AR,TRUE
1998,124,231,231,231,1,16,state,AZ,FALSE
1999,196,236,236,236,1,16,state,AZ,FALSE
2000,166,223,223,223,1,16,state,AZ,FALSE
2002,157,223,223,223,1,16,state,AZ,FALSE
2003,139,245,245,245,1,16,state,AZ,FALSE
2004,136,276,276,276,1,16,state,AZ,FALSE
2005,130,277,277,277,1,16,state,AZ,FALSE
2006,132,271,271,271,1,16,state,AZ,FALSE
2007,139,291,291,291,1,16,state,AZ,FALSE
2008,132,292,292,292,1,16,state,AZ,FALSE
2009,172,296,296,296,1,16,state,AZ,FALSE
2010,163,362,362,362,1,16,state,AZ,FALSE
2011,169,364,364,364,1,16,state,AZ,FALSE
2012,272,422,422,422,1,16,state,AZ,FALSE
2013,244,423,423,423,1,16,state,AZ,FALSE
2014,250,461,461,461,1,16,state,AZ,FALSE
2015,281,483,483,483,1,16,state,AZ,FALSE
2016,280,511,511,511,1,16,state,AZ,FALSE
2017,300,533,579,603,0.4375,16,state,AZ,TRUE
2018,380,537,580,604,0.4375,16,state,AZ,TRUE
2019,406,581,629,653,0.4375,16,state,AZ,TRUE
2020,374,575,631,657,0.375,16,state,AZ,TRUE
2021,313,688,733,763,0.375,16,state,AZ,TRUE
2022,377,861,894,922,0.4375,16,state,AZ,TRUE
2023,352,990,1023,1051,0.4375,16,state,AZ,TRUE
2024,475,,,,0,15,state,AZ,TRUE
1998,1249,1388,1388,1388,1,59,state,CA,FALSE
1999,1283,1378,1378,1378,1,59,state,CA,FALSE
2000,1328,1360,1360,1360,1,59,state,CA,FALSE
2002,1579,1539,1539,1539,1,59,state,CA,FALSE
2003,1451,1692,1692,1692,1,59,state,CA,FALSE
2004,1524,1664,1664,1664,1,59,state,CA,FALSE
2005,1459,1664,1664,1664,1,59,state,CA,FALSE
2006,1497,1700,1700,1700,1,59,state,CA,FALSE
2007,1493,1733,1733,1733,1,59,state,CA,FALSE
2008,1478,1806,1806,1806,1,59,state,CA,FALSE
2009,1472,1776,1776,1776,1,59,state,CA,FALSE
2010,1401,1742,1742,1742,1,59,state,CA,FALSE
2011,1372,1756,1756,1756,1,59,state,CA,FALSE
2012,1322,1822,1822,1822,1,59,state,CA,FALSE
2013,1239,1883,1883,1883,1,59,state,CA,FALSE
2014,1224,1892,1892,1892,1,59,state,CA,FALSE
2015,1158,1978,1978,1978,1,59,state,CA,FALSE
2016,1129,2140,2140,2140,1,59,state,CA,FALSE
2017,1101,2269,2290,2390,0.525423728813559,59,state,CA,TRUE
2018,1165,2353,2379,2475,0.525423728813559,59,state,CA,TRUE
2019,1435,2409,2440,2534,0.525423728813559,59,state,CA,TRUE
2020,1387,2378,2407,2503,0.525423728813559,59,state,CA,TRUE
2021,1191,2577,2602,2692,0.559322033898305,59,state,CA,TRUE
2022,1272,2792,2806,2898,0.576271186440678,59,state,CA,TRUE
2023,1139,2829,2850,2940,0.576271186440678,59,state,CA,TRUE
2024,1180,,,,0,55,state,CA,TRUE
1998,203,247,247,247,1,64,state,CO,FALSE
1999,390,247,247,247,0.984615384615385,65,state,CO,FALSE
2000,360,264,264,264,0.984615384615385,65,state,CO,FALSE
2002,358,284,284,284,1,65,state,CO,FALSE
2003,285,293,293,293,1,65,state,CO,FALSE
2004,364,291,291,291,1,65,state,CO,FALSE
2005,362,299,299,299,1,65,state,CO,FALSE
2006,357,302,302,302,1,65,state,CO,FALSE
2007,359,289,289,289,1,65,state,CO,FALSE
2008,364,294,294,294,1,65,state,CO,FALSE
2009,352,285,285,285,1,65,state,CO,FALSE
2010,384,284,284,284,1,65,state,CO,FALSE
2011,381,289,289,289,1,65,state,CO,FALSE
2012,391,337,337,337,1,65,state,CO,FALSE
2013,405,333,333,333,1,65,state,CO,FALSE
2014,412,341,341,341,1,65,state,CO,FALSE
2015,344,354,354,354,1,65,state,CO,FALSE
2016,342,368,368,368,1,65,state,CO,FALSE
2017,342,316,355,565,0.138461538461538,65,state,CO,TRUE
2018,378,303,356,570,0.123076923076923,65,state,CO,TRUE
2019,375,321,385,593,0.123076923076923,65,state,CO,TRUE
2020,359,335,396,606,0.123076923076923,65,state,CO,TRUE
2021,299,354,417,625,0.123076923076923,65,state,CO,TRUE
2022,289,364,440,646,0.123076923076923,65,state,CO,TRUE
2023,253,357,422,634,0.123076923076923,65,state,CO,TRUE
2024,264,,,,0,50,state,CO,TRUE
1998,181,169,169,169,1,8,state,CT,FALSE
1999,154,183,183,183,1,8,state,CT,FALSE
2000,202,194,194,194,1,9,state,CT,FALSE
2002,195,228,228,228,1,9,state,CT,FALSE
2003,180,224,224,224,1,9,state,CT,FALSE
2004,170,216,216,216,1,9,state,CT,FALSE
2005,160,229,229,229,1,9,state,CT,FALSE
2006,161,241,241,241,1,9,state,CT,FALSE
2007,165,250,250,250,1,9,state,CT,FALSE
2008,155,271,271,271,1,9,state,CT,FALSE
2009,153,273,273,273,1,9,state,CT,FALSE
2010,148,267,267,267,1,9,state,CT,FALSE
2011,140,262,262,262,1,9,state,CT,FALSE
2012,143,274,274,274,1,9,state,CT,FALSE
2013,157,274,274,274,1,9,state,CT,FALSE
2014,158,275,275,275,1,9,state,CT,FALSE
2015,180,269,269,269,1,9,state,CT,FALSE
2016,186,309,309,309,1,9,state,CT,FALSE
2017,199,289,293,299,0.777777777777778,9,state,CT,TRUE
2018,211,300,306,312,0.777777777777778,9,state,CT,TRUE
2019,206,324,329,335,0.777777777777778,9,state,CT,TRUE
2020,196,319,324,330,0.777777777777778,9,state,CT,TRUE
2021,161,329,333,339,0.777777777777778,9,state,CT,TRUE
2022,168,339,339,343,0.5,18,state,CT,TRUE
2023,158,430,430,434,0.5,18,state,CT,TRUE
2024,168,,,,0,8,state,CT,TRUE
1998,53,53,53,53,0.5,2,state,DC,FALSE
1999,63,52,52,52,0.5,2,state,DC,FALSE
2000,48,50,50,50,0.5,2,state,DC,FALSE
2002,51,63,63,63,0.5,2,state,DC,FALSE
2003,45,51,51,51,0.5,2,state,DC,FALSE
2004,45,53,53,53,1,1,state,DC,FALSE
2005,40,62,62,62,1,1,state,DC,FALSE
2006,37,56,56,56,1,1,state,DC,FALSE
2007,37,43,43,43,1,1,state,DC,FALSE
2008,38,39,39,39,1,1,state,DC,FALSE
2009,35,35,35,35,1,1,state,DC,FALSE
2010,31,40,40,40,1,1,state,DC,FALSE
2011,33,40,40,40,1,1,state,DC,FALSE
2012,30,51,51,51,1,1,state,DC,FALSE
2013,29,50,50,50,1,1,state,DC,FALSE
2014,28,49,49,49,1,1,state,DC,FALSE
2015,26,49,49,49,1,1,state,DC,FALSE
2016,26,50,50,50,1,1,state,DC,FALSE
2017,24,43,43,43,1,1,state,DC,TRUE
