listing_id,survey_year,directory_year,state,state_fips,region,county_fips,ownership_group,center_types,care_settings,all_codes,accepts_medicaid,accepts_medicare,accepts_private_insurance,center_type_substance_use,center_type_detoxification,center_type_transitional_housing,center_type_mental_health,center_type_cooccurring,setting_outpatient,setting_residential,setting_hospital,service_otp,service_methadone,service_buprenorphine,service_naltrexone,service_telehealth,otp_available,year_qa_status,has_parser_warning,geocode_method,geocode_confidence
L3615c146d2157f0,2002,2003,AL,01,South,01123,,SA|TX|HH,"",HH MN RR SA SF TX|SA|TX|HH||,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,,FALSE,,,,FALSE,not_reviewed,FALSE,zip_crosswalk,low
L160a096cbf68514,2002,2003,AL,01,South,01015,,SA|TX|HH,"",AH HH MN RR SA SF TX|SA|TX|HH||,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,,FALSE,,,,FALSE,not_reviewed,FALSE,zip_crosswalk,low
L6604b54fb4869db,2002,2003,AL,01,South,01015,,SA|TX,OP,AD CJ CO DU MD MI OP PI SA SF SS TX|SA|TX|OP|,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,,,,FALSE,not_reviewed,FALSE,zip_crosswalk,low
Lf41f6ac1523aea3,2002,2003,AL,01,South,01115,,SA|TX,OP,AD CO OP SA TX|SA|TX|OP|,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,,,,FALSE,not_reviewed,FALSE,zip_crosswalk,low
Le0bdaa0eb09f927,2002,2003,AL,01,South,01073,,SA|TX|DT,OP,CO DM DT GL MM OP PW SA SE TX WO|SA|TX|DT|OP|MM|DM,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,not_reviewed,FALSE,zip_crosswalk,low
L19692f591e56f70,2002,2003,AL,01,South,01073,,SA|TX|DT,"",DT MD RR SA SF SS TX|SA|TX|DT||,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,,FALSE,,,,FALSE,not_reviewed,FALSE,zip_crosswalk,low
La1e7f96cacf55ca,2002,2003,AL,01,South,01073,,SA|TX,OP,AH CJ DU HV MD MN OP PA RR SA SF TX|SA|TX|OP|,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,,,,FALSE,not_reviewed,FALSE,zip_crosswalk,low
L07a691c75be49e2,2002,2003,AL,01,South,01073,,TX|GH,OP,GH OP TX|TX|GH|OP|,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,,,,FALSE,not_reviewed,FALSE,zip_crosswalk,low
L26e9cc2db380783,2002,2003,AL,01,South,01073,,SA|TX|DT,OP,DM DT MM OP SA SF SP TX|SA|TX|DT|OP|MM|DM,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,not_reviewed,FALSE,zip_crosswalk,low
La31ced89602248b,2002,2003,AL,01,South,01073,,SA|TX,OP|PH,AD MI OP PH PI SA SF TX|SA|TX|OP|PH|,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,,,,FALSE,not_reviewed,FALSE,zip_crosswalk,low
Lec6fab2e31c184c,2002,2003,AL,01,South,01073,,TX|GH,OP,CO GH OP PI SF SP TX|TX|GH|OP|,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,,,,FALSE,not_reviewed,FALSE,zip_crosswalk,low
L730c2cc791048c0,2002,2003,AL,01,South,01073,,SA|TX|HH,"",AH CJ CO HH HV MN PA RR SA SF SP SS TX WO|SA|TX|HH||,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,,FALSE,,,,FALSE,not_reviewed,FALSE,zip_crosswalk,low
Lbd71831d164a6d8,2002,2003,AL,01,South,01073,,TX|DT|MH,HI,AD CO DT HI MC MD MH MI PI RR SF TX|TX|DT|MH|HI|,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,FALSE,FALSE,TRUE,,FALSE,,,,FALSE,not_reviewed,FALSE,zip_crosswalk,low
Lfa154f1c00156f3,2002,2003,AL,01,South,01073,,SA|TX,OP,AD HV MD OP SA SE SF TX|SA|TX|OP|,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,,,,FALSE,not_reviewed,FALSE,zip_crosswalk,low
Leb5a4c71e99484b,2002,2003,AL,01,South,01073,,SA|TX,OP,AD CJ MD OP SA SF TX|SA|TX|OP|,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,,,,FALSE,not_reviewed,FALSE,zip_crosswalk,low
Le9fbf4c2344b365,2002,2003,AL,01,South,01073,,SA|TX|HH,"",CO GL HH HV PW RR SA SE SF TX WO|SA|TX|HH||,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,,FALSE,,,,FALSE,not_reviewed,FALSE,zip_crosswalk,low
Laa0a46ca94c04af,2002,2003,AL,01,South,01073,,SA|TX|DT,OP,DM DT MM OP SA SF TX|SA|TX|DT|OP|MM|DM,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,not_reviewed,FALSE,zip_crosswalk,low
L12e2c122beb25db,2002,2003,AL,01,South,,,TX|DT,OP|PH,DT MC MD MH-SA MI OP PH PI RR SF TX|TX|DT|OP|PH|,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,,,,FALSE,not_reviewed,FALSE,,
L8afa8c9d2064ab6,2002,2003,AL,01,South,01073,,SA|TX,OP,AD MC MD MM OP PI SA SF TX|SA|TX|OP|MM,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,not_reviewed,FALSE,zip_crosswalk,low
Lb925f6e072354ea,2002,2003,AL,01,South,01043,,SA|TX,OP,AD CO OP SA TX|SA|TX|OP|,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,,,,FALSE,not_reviewed,FALSE,zip_crosswalk,low
L1b446a7909029dd,2002,2003,AL,01,South,01103,,SA|TX,OP,AD CO OP SA TX|SA|TX|OP|,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,,,,FALSE,not_reviewed,FALSE,zip_crosswalk,low
L3a22adc9780391d,2002,2003,AL,01,South,01103,,SA|TX,OP,CJ CO MD OP PI PW SA SF SS TX WO|SA|TX|OP|,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,,,,FALSE,not_reviewed,FALSE,zip_crosswalk,low
L305aa2511e43de4,2002,2003,AL,01,South,01091,,TX,OP,CJ CO DU MD MH-SA OP SF TX|TX|OP|,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,,,,FALSE,not_reviewed,FALSE,zip_crosswalk,low
