survey_year,directory_year,facility_count,ownership_coverage,county_assigned,county_high_confidence,county_fallback,parser_warning_count,otp_available,qa_status,county_unassigned,county_assignment_share
1998,1998,10068,0,9961,8119,1842,1097,FALSE,partial_review,107,0.989372268573699
1999,2000,9667,0.00165511534085032,9501,3693,5808,1020,FALSE,not_reviewed,166,0.982828178338678
2000,2001,11020,0,10748,0,10748,836,FALSE,not_reviewed,272,0.975317604355717
2002,2003,11477,0,11215,0,11215,786,FALSE,not_reviewed,262,0.977171734773896
2003,2004,9907,0.00201877460381548,9688,0,9688,922,FALSE,not_reviewed,219,0.97789441808822
2004,2005,10887,0,10660,0,10660,620,FALSE,not_reviewed,227,0.979149444291357
2005,2006,10633,0,10418,0,10418,622,FALSE,not_reviewed,215,0.979779930405342
2006,2007,10825,0,10608,0,10608,650,FALSE,not_reviewed,217,0.979953810623557
2007,2008,11124,0,10911,0,10911,653,FALSE,not_reviewed,213,0.980852211434736
2008,2009,11127,0,10931,0,10931,674,FALSE,not_reviewed,196,0.982385189179473
2009,2010,11117,0,10938,0,10938,606,FALSE,not_reviewed,179,0.983898533777098
2010,2011,11150,0,10992,0,10992,570,FALSE,not_reviewed,158,0.985829596412556
2011,2012,11410,0,11254,0,11254,597,FALSE,not_reviewed,156,0.986327782646801
2012,2013,11576,0.0431928127159641,11423,0,11423,653,FALSE,not_reviewed,153,0.986782999308915
2013,2014,11359,0.0141737829034246,11224,0,11224,649,FALSE,not_reviewed,135,0.988115150981601
2014,2015,11813,0.0131211377296199,11687,0,11687,708,FALSE,not_reviewed,126,0.989333784813341
2015,2016,11610,0.101550387596899,11496,0,11496,719,TRUE,not_reviewed,114,0.990180878552971
2016,2017,11927,0.0768843799782007,11804,0,11804,761,TRUE,not_reviewed,123,0.989687264190492
2017,2018,12069,0.0967768663518104,11955,0,11955,613,TRUE,not_reviewed,114,0.990554312701964
2018,2019,13313,0.992638774130549,13196,0,13196,663,TRUE,not_reviewed,117,0.991211597686472
2019,2020,14069,0.992963252541048,13966,0,13966,703,TRUE,not_reviewed,103,0.992678939512403
2020,2021,14189,0.99330467263373,14091,0,14091,718,TRUE,not_reviewed,98,0.993093241243217
2021,2022,12114,0.998349017665511,12038,0,12038,0,TRUE,official_xlsx_checks_passed,76,0.993726267128942
2022,2023,12677,0.998580105703242,12609,0,12609,0,TRUE,official_xlsx_checks_passed,68,0.994635954878914
2023,2024,12146,0.996953729622921,12096,0,12096,0,TRUE,official_xlsx_checks_passed,50,0.995883418409353
2024,2025,13404,0.997015816174276,13304,0,13304,556,TRUE,official_xlsx_checks_passed,100,0.992539540435691
