survey_year,state,state_fips,population,source,vintage
1998,AL,01,4404701,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,AK,02,619932,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,AZ,04,4883342,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,AR,05,2626289,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,CA,06,32987675,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,CO,08,4116639,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,CT,09,3365352,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,DE,10,763335,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,DC,11,565230,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,FL,12,15486559,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,GA,13,7863536,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,HI,15,1215233,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,ID,16,1252330,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,IL,17,12271847,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,IN,18,5998880,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,IA,19,2902872,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,KS,20,2660598,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,KY,21,3985390,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,LA,22,4440344,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,ME,23,1259127,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,MD,24,5204464,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,MA,25,6271838,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,MI,26,9847942,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,MN,27,4813412,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,MS,28,2804834,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,MO,29,5521765,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,MT,30,892431,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,NE,31,1695816,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,NV,32,1853191,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,NH,33,1205940,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,NJ,34,8287418,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,NM,35,1793484,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
1998,NY,36,18755906,https://www2.census.gov/programs-surveys/popest/tables/1990-2000/intercensal/st-co/stch-icen1998.txt,1990-2000 intercensal
