survey_year,geography_type,geography,facility_count,denominator_records,available,metric,category,source,population,facilities_per_100000
1997,national,US,0,0,FALSE,Care setting,Hospital inpatient,SAMHSA public-use facility survey,,
1998,national,US,0,0,FALSE,Care setting,Hospital inpatient,SAMHSA public-use facility survey,275854104,
2000,national,US,687,11332,TRUE,Care setting,Hospital inpatient,SAMHSA public-use facility survey,282162411,0.243476796772905
2002,national,US,646,11618,TRUE,Care setting,Hospital inpatient,SAMHSA public-use facility survey,287625193,0.224597850161199
2003,national,US,709,11754,TRUE,Care setting,Hospital inpatient,SAMHSA public-use facility survey,290107933,0.244391800206305
2004,national,US,757,11716,TRUE,Care setting,Hospital inpatient,SAMHSA public-use facility survey,292805298,0.258533573391831
2005,national,US,681,11722,TRUE,Care setting,Hospital inpatient,SAMHSA public-use facility survey,295516599,0.230443908160976
2006,national,US,642,12125,TRUE,Care setting,Hospital inpatient,SAMHSA public-use facility survey,298379912,0.215161937577085
2007,national,US,733,12158,TRUE,Care setting,Hospital inpatient,SAMHSA public-use facility survey,301231207,0.243334682120103
2008,national,US,605,12274,TRUE,Care setting,Hospital inpatient,SAMHSA public-use facility survey,304093966,0.19895166219773
2009,national,US,595,12197,TRUE,Care setting,Hospital inpatient,SAMHSA public-use facility survey,306771529,0.193955417551151
2010,national,US,560,12050,TRUE,Care setting,Hospital inpatient,SAMHSA public-use facility survey,309327143,0.18103810566666
2011,national,US,558,12324,TRUE,Care setting,Hospital inpatient,SAMHSA public-use facility survey,311583481,0.179085232056959
2012,national,US,763,14142,TRUE,Care setting,Hospital inpatient,SAMHSA public-use facility survey,313877662,0.243088340577738
2013,national,US,737,13978,TRUE,Care setting,Hospital inpatient,SAMHSA public-use facility survey,316059947,0.233183611841838
2014,national,US,742,13993,TRUE,Care setting,Hospital inpatient,SAMHSA public-use facility survey,318386329,0.233050207378722
2015,national,US,706,13718,TRUE,Care setting,Hospital inpatient,SAMHSA public-use facility survey,320738994,0.220116672187355
2016,national,US,736,14248,TRUE,Care setting,Hospital inpatient,SAMHSA public-use facility survey,323071755,0.227813168006594
