directory_year,survey_year,facility_count,warning_count,territory_count,warning_share,reviewed_listings,gold_target,qa_status,ownership_coverage,assigned_count,high_confidence_count,fallback_count,county_assigned_share,county_high_confidence_share,qa_flags
1998,1998,10068,1097,132,0.1089590782677791,30,100,Partial review,0.0,9961,8119,1842,0.9893722685736989,0.8064163686928884,Gold-sample review incomplete | Parser warning rate exceeds 5% | High-confidence county assignment below 90%
2000,1999,9667,1020,110,0.10551360297920762,0,100,Not reviewed,0.0016551153408503156,9501,3693,5808,0.982828178338678,0.38202130961001346,Gold-sample review incomplete | Parser warning rate exceeds 5% | High-confidence county assignment below 90%
2001,2000,11020,836,111,0.07586206896551724,0,100,Not reviewed,0.0,10748,0,10748,0.9753176043557169,0.0,Gold-sample review incomplete | Parser warning rate exceeds 5% | High-confidence county assignment below 90%
2003,2002,11477,786,115,0.06848479567831314,0,100,Not reviewed,0.0,11215,0,11215,0.9771717347738956,0.0,Gold-sample review incomplete | Parser warning rate exceeds 5% | High-confidence county assignment below 90%
2004,2003,9907,922,172,0.09306550923589381,0,100,Not reviewed,0.002018774603815484,9688,0,9688,0.9778944180882204,0.0,Gold-sample review incomplete | Parser warning rate exceeds 5% | High-confidence county assignment below 90% | Listing count is 11.4% above the legacy parser fixture; difference under review
2005,2004,10887,620,173,0.05694865435840911,0,50,Not reviewed,0.0,10660,0,10660,0.9791494442913566,0.0,Gold-sample review incomplete | Parser warning rate exceeds 5% | High-confidence county assignment below 90%
2006,2005,10633,622,144,0.05849713157152262,0,50,Not reviewed,0.0,10418,0,10418,0.9797799304053418,0.0,Gold-sample review incomplete | Parser warning rate exceeds 5% | High-confidence county assignment below 90%
2007,2006,10825,650,148,0.06004618937644342,0,50,Not reviewed,0.0,10608,0,10608,0.9799538106235566,0.0,Gold-sample review incomplete | Parser warning rate exceeds 5% | High-confidence county assignment below 90%
2008,2007,11124,653,143,0.05870190578928443,0,50,Not reviewed,0.0,10911,0,10911,0.9808522114347357,0.0,Gold-sample review incomplete | Parser warning rate exceeds 5% | High-confidence county assignment below 90%
2009,2008,11127,674,132,0.060573380066504895,0,50,Not reviewed,0.0,10931,0,10931,0.9823851891794734,0.0,Gold-sample review incomplete | Parser warning rate exceeds 5% | High-confidence county assignment below 90%
2010,2009,11117,606,131,0.05451110911217055,0,50,Not reviewed,0.0,10938,0,10938,0.9838985337770981,0.0,Gold-sample review incomplete | Parser warning rate exceeds 5% | High-confidence county assignment below 90%
2011,2010,11150,570,128,0.051121076233183856,0,50,Not reviewed,0.0,10992,0,10992,0.9858295964125561,0.0,Gold-sample review incomplete | Parser warning rate exceeds 5% | High-confidence county assignment below 90%
2012,2011,11410,597,132,0.052322524101665206,0,50,Not reviewed,0.0,11254,0,11254,0.9863277826468011,0.0,Gold-sample review incomplete | Parser warning rate exceeds 5% | High-confidence county assignment below 90%
2013,2012,11576,653,121,0.056409813407049064,0,50,Not reviewed,0.04379751209398756,11423,0,11423,0.986782999308915,0.0,Gold-sample review incomplete | Parser warning rate exceeds 5% | High-confidence county assignment below 90%
2014,2013,11359,649,122,0.05713531120697245,0,50,Not reviewed,0.014173782903424597,11224,0,11224,0.9881151509816005,0.0,Gold-sample review incomplete | Parser warning rate exceeds 5% | High-confidence county assignment below 90%
2015,2014,11813,708,115,0.059933971048844494,0,50,Not reviewed,0.013121137729619911,11687,0,11687,0.9893337848133412,0.0,Gold-sample review incomplete | Parser warning rate exceeds 5% | High-confidence county assignment below 90%
2016,2015,11610,719,104,0.06192937123169681,0,50,Not reviewed,0.992764857881137,11496,0,11496,0.9901808785529715,0.0,Gold-sample review incomplete | Parser warning rate exceeds 5% | High-confidence county assignment below 90%
2017,2016,11927,761,103,0.06380481261004443,0,100,Not reviewed,0.7748805231826947,11804,0,11804,0.9896872641904921,0.0,Gold-sample review incomplete | Parser warning rate exceeds 5% | High-confidence county assignment below 90%
2018,2017,12069,613,97,0.05079128345347585,0,100,Not reviewed,0.9884828900488856,11955,0,11955,0.9905543127019637,0.0,Gold-sample review incomplete | Parser warning rate exceeds 5% | High-confidence county assignment below 90%
2019,2018,13313,663,112,0.04980094644332607,0,50,Not reviewed,0.9926387741305491,13196,0,13196,0.9912115976864718,0.0,Gold-sample review incomplete | High-confidence county assignment below 90%
2020,2019,14069,703,100,0.04996801478427749,0,50,Not reviewed,0.9930343307982088,13966,0,13966,0.9926789395124032,0.0,Gold-sample review incomplete | High-confidence county assignment below 90%
2021,2020,14189,718,91,0.050602579462964266,0,100,Not reviewed,0.9933751497639016,14091,0,14091,0.9930932412432166,0.0,Gold-sample review incomplete | Parser warning rate exceeds 5% | High-confidence county assignment below 90%
2022,2021,12114,0,62,0.0,0,0,Source workbook imported,0.9984315667822354,12038,0,12038,0.9937262671289417,0.0,High-confidence county assignment below 90%
2023,2022,12677,0,67,0.0,0,0,Source workbook imported,0.9990534038021613,12609,0,12609,0.9946359548789145,0.0,High-confidence county assignment below 90%
2024,2023,12146,0,54,0.0,0,0,Source workbook imported,0.9980240408364894,12096,0,12096,0.9958834184093529,0.0,High-confidence county assignment below 90%
2025,2024,13404,556,56,0.04148015517755894,0,0,Source workbook imported,0.9992539540435691,13304,0,13304,0.9925395404356908,0.0,Source workbook contains address warnings | High-confidence county assignment below 90%
