listing_id,directory_year,survey_year,state,state_fips,census_region,census_division,has_warning,county_fips,geocode_method,geocode_confidence,ownership,center_type,setting,payment,service_family,ownership_mask,center_type_mask,setting_mask,payment_mask,service_family_mask,service_codes
L67e33c63ba5c543,2005,2004,AL,01,South,East South Central,False,01123,zip_crosswalk,low,,substance_use|transitional_housing,residential,self_pay,substance_use_treatment|transitional_housing|residential_treatment,0,5,2,16,37,CO|HH|MN|RL|SA|SF|TX
L07e36f1368a0650,2005,2004,AL,01,South,East South Central,False,01015,zip_crosswalk,low,,substance_use|transitional_housing,residential,self_pay,substance_use_treatment|transitional_housing|residential_treatment,0,5,2,16,37,HH|RL|SA|SF|TX
L08f7ab9faa836bd,2005,2004,AL,01,South,East South Central,False,01015,zip_crosswalk,low,,substance_use,outpatient,medicaid|military_insurance|private_insurance|self_pay|state_financed|sliding_fee,substance_use_treatment|outpatient_treatment,0,1,1,190,17,AD|CO|DU|MD|MI|OP|PI|SA|SF|SI|SS|TX
L83a23529eb2330f,2005,2004,AL,01,South,East South Central,False,01115,zip_crosswalk,low,,substance_use,outpatient,medicaid|military_insurance|private_insurance|self_pay|state_financed|payment_assistance,substance_use_treatment|outpatient_treatment,0,1,1,126,17,AD|AH|MD|MI|OP|PA|PI|SA|SF|SI|TX
L02639306a147ba1,2005,2004,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|detoxification,outpatient,,substance_use_treatment|detoxification|outpatient_treatment|methadone,0,3,1,0,275,BC|CO|DM|DT|HV|MM|OP|PW|SA|TX|WN
Lab40c7f2f31f353,2005,2004,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|detoxification,residential,medicaid|self_pay|state_financed|payment_assistance|sliding_fee,substance_use_treatment|detoxification|residential_treatment,0,3,2,242,35,AH|CO|DT|MD|PA|RL|RS|SA|SF|SI|SS|TX|WN
Lfa7f938a188fd78,2005,2004,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient|residential,medicaid|self_pay|payment_assistance,substance_use_treatment|outpatient_treatment|residential_treatment,0,1,3,82,49,MD|OP|PA|RL|SA|SF|TX
L0733a9941e1e86c,2005,2004,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient|residential,self_pay,substance_use_treatment|outpatient_treatment|residential_treatment,0,1,3,16,49,CJ|CO|GL|HV|MN|OP|RL|SA|SE|SF|TX
L58c9fba978ebe77,2005,2004,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|transitional_housing,outpatient,medicare|medicaid|self_pay,substance_use_treatment|transitional_housing|outpatient_treatment,0,5,1,19,21,CJ|CO|HH|MC|MD|MN|OP|SA|SF|TX
L842134a7b6a9619,2005,2004,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient|residential,payment_assistance,substance_use_treatment|outpatient_treatment|residential_treatment,0,1,3,64,49,OP|PA|RL|SA|TX|WN
L417040471eba50b,2005,2004,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,payment_assistance|sliding_fee,substance_use_treatment|outpatient_treatment,0,1,1,192,17,HV|OP|PA|SA|SS|TX
Le3d235fc1656ff2,2005,2004,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|detoxification,outpatient,self_pay,substance_use_treatment|detoxification|outpatient_treatment|methadone,0,3,1,16,275,DM|DT|MM|OP|SA|SF|TX
L6e5b14842966481,2005,2004,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,military_insurance|private_insurance|self_pay|state_financed,substance_use_treatment|outpatient_treatment,0,1,1,60,17,AD|MI|OP|PI|SA|SF|SI|TX
L5a22690826cf440,2005,2004,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|transitional_housing,outpatient,military_insurance|private_insurance|self_pay,substance_use_treatment|transitional_housing|outpatient_treatment,0,5,1,28,21,CO|DU|GH|HH|MI|OP|PI|SE|SF|TX|WN
Lb8dc96cf568e2f8,2005,2004,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,detoxification|mental_health,hospital_inpatient,medicare|private_insurance|self_pay,detoxification|hospital_inpatient,0,10,4,25,66,AH|DT|F11|HI|MC|MH|PI|SF|SP
L77fcf96fd8cb570,2005,2004,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,medicare|medicaid|self_pay|payment_assistance|sliding_fee,substance_use_treatment|outpatient_treatment,0,1,1,211,17,MC|MD|OP|PA|SA|SF|SS|TX
L023c9cde520c7e6,2005,2004,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,medicaid|self_pay,substance_use_treatment|outpatient_treatment,0,1,1,18,17,MD|OP|SA|SF|TX
Ld6492d1f499e152,2005,2004,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|detoxification,outpatient,self_pay,substance_use_treatment|detoxification|outpatient_treatment|methadone,0,3,1,16,275,DM|DT|MM|OP|SA|SF|TX
L66a2f0361538104,2005,2004,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,medicaid|self_pay|sliding_fee,substance_use_treatment|outpatient_treatment|methadone,0,1,1,146,273,AD|MD|MM|OP|PW|SA|SF|SS|TX|WN
La0ffce6606c2ddd,2005,2004,AL,01,South,East South Central,False,,,,,substance_use|detoxification,outpatient|residential|hospital_inpatient,medicare|medicaid|military_insurance|private_insurance|self_pay|state_financed,substance_use_treatment|detoxification|outpatient_treatment|residential_treatment|hospital_inpatient,0,3,7,63,115,CO|DT|HI|MC|MD|MI|OP|PH|PI|RS|SA|SF|SI|TX
L13c2b12dec6a46c,2005,2004,AL,01,South,East South Central,False,01107,zip_crosswalk,low,,substance_use,outpatient,medicaid|military_insurance|private_insurance|self_pay|sliding_fee,substance_use_treatment|outpatient_treatment,0,1,1,158,17,AH|CO|MD|MH-SA|MI|OP|PI|SF|SS|TX
L0f2480a6a8e6240,2005,2004,AL,01,South,East South Central,False,01043,zip_crosswalk,low,,substance_use,outpatient,medicaid|military_insurance|private_insurance|self_pay|state_financed|payment_assistance,substance_use_treatment|outpatient_treatment,0,1,1,126,17,AD|AH|MD|MI|OP|PA|PI|SA|SF|SI|TX
L9e22f59682858fb,2005,2004,AL,01,South,East South Central,False,01043,zip_crosswalk,low,,substance_use|detoxification,outpatient,self_pay,substance_use_treatment|detoxification|outpatient_treatment|methadone,0,3,1,16,275,AH|DT|GL|HV|MM|OP|PW|SA|SF|TX|WN
Lead43fb6e8383c7,2005,2004,AL,01,South,East South Central,False,01043,zip_crosswalk,low,,substance_use|transitional_housing,residential,self_pay,substance_use_treatment|transitional_housing|residential_treatment,0,5,2,16,37,CJ|HH|MN|RL|SA|SF|TX
L4c701a84ad1d5af,2005,2004,AL,01,South,East South Central,False,,,,,substance_use,outpatient,medicaid|military_insurance|private_insurance|self_pay|state_financed|payment_assistance,substance_use_treatment|outpatient_treatment,0,1,1,126,17,AD|AH|MD|MI|OP|PA|PI|SA|SF|SI|TX
L6dacf073e7eb87d,2005,2004,AL,01,South,East South Central,False,01103,zip_crosswalk,low,,substance_use,outpatient,medicaid|private_insurance|self_pay|sliding_fee,substance_use_treatment|outpatient_treatment,0,1,1,154,17,AH|CO|MD|OP|PI|PW|SA|SF|SS|TX|WN
