survey_year,state,state_fips,census_region,ownership_mask,center_type_mask,setting_mask,payment_mask,service_family_mask,facility_count
1998,AK,02,West,0,0,0,0,0,1
1998,AK,02,West,0,1,0,128,1,2
1998,AK,02,West,0,1,0,136,1,2
1998,AK,02,West,0,1,0,137,1,1
1998,AK,02,West,0,1,0,138,1,2
1998,AK,02,West,0,1,2,130,1,1
1998,AK,02,West,0,3,2,128,3,1
1998,AK,02,West,0,3,2,138,3,1
1998,AK,02,West,1,1,0,0,1,4
1998,AK,02,West,1,1,0,2,1,1
1998,AK,02,West,1,1,0,8,1,1
1998,AK,02,West,1,1,0,11,1,1
1998,AK,02,West,1,1,0,128,1,13
1998,AK,02,West,1,1,0,130,1,5
1998,AK,02,West,1,1,0,136,1,3
1998,AK,02,West,1,1,0,138,1,6
1998,AK,02,West,1,1,1,130,1,1
1998,AK,02,West,1,2,1,128,2,1
1998,AK,02,West,1,3,1,0,19,1
1998,AK,02,West,1,3,1,128,3,3
1998,AK,02,West,1,3,1,138,3,1
1998,AK,02,West,1,3,2,136,3,1
1998,AK,02,West,1,3,2,138,3,1
1998,AK,02,West,1,3,3,136,3,1
1998,AK,02,West,1,5,0,138,5,2
1998,AK,02,West,1,7,2,128,7,1
1998,AL,01,South,0,0,0,0,0,3
1998,AL,01,South,0,1,0,0,1,1
1998,AL,01,South,0,1,0,128,1,5
1998,AL,01,South,0,1,0,130,1,2
1998,AL,01,South,0,1,0,136,1,2
1998,AL,01,South,0,1,0,138,1,1
1998,AL,01,South,0,3,0,0,3,1
1998,AL,01,South,0,3,0,9,3,1
1998,AL,01,South,0,3,0,11,3,1
1998,AL,01,South,0,3,1,128,3,1
1998,AL,01,South,0,3,1,136,3,1
1998,AL,01,South,0,5,0,0,5,4
1998,AL,01,South,0,5,0,128,5,2
1998,AL,01,South,1,1,0,2,1,1
1998,AL,01,South,1,1,0,10,1,1
1998,AL,01,South,1,1,0,128,1,9
1998,AL,01,South,1,1,0,129,1,1
1998,AL,01,South,1,1,0,130,1,2
1998,AL,01,South,1,1,0,138,1,3
1998,AL,01,South,1,1,0,139,1,2
1998,AL,01,South,1,1,1,138,17,1
1998,AL,01,South,1,2,3,128,2,1
1998,AL,01,South,1,3,1,9,3,1
1998,AL,01,South,1,3,1,128,3,2
1998,AL,01,South,1,3,1,128,19,3
1998,AL,01,South,1,3,1,136,3,1
1998,AL,01,South,1,3,2,130,3,2
1998,AL,01,South,1,3,3,9,19,1
1998,AL,01,South,1,5,0,0,5,1
1998,AL,01,South,1,5,0,128,5,1
1998,AL,01,South,1,5,0,138,5,1
1998,AR,05,South,0,1,0,0,1,1
1998,AR,05,South,0,1,0,8,1,1
1998,AR,05,South,0,1,0,10,1,1
1998,AR,05,South,0,1,0,128,1,6
1998,AR,05,South,0,1,0,136,1,2
1998,AR,05,South,0,2,0,11,2,1
1998,AR,05,South,0,3,0,139,3,1
1998,AR,05,South,0,3,1,128,19,1
1998,AR,05,South,0,3,1,137,19,1
1998,AR,05,South,0,3,2,128,3,1
1998,AR,05,South,0,3,2,136,3,1
1998,AR,05,South,0,3,3,136,3,1
1998,AR,05,South,0,3,3,138,3,1
1998,AR,05,South,0,7,2,136,7,1
1998,AR,05,South,1,1,0,0,1,3
1998,AR,05,South,1,1,0,128,1,19
1998,AR,05,South,1,1,0,136,1,3
1998,AR,05,South,1,3,0,3,3,1
1998,AR,05,South,1,3,0,137,3,1
1998,AR,05,South,1,3,1,0,3,1
1998,AR,05,South,1,3,1,9,19,1
1998,AR,05,South,1,3,1,128,3,3
1998,AR,05,South,1,3,1,128,19,1
1998,AR,05,South,1,3,1,137,19,1
1998,AR,05,South,1,3,1,139,19,1
1998,AR,05,South,1,3,3,11,3,1
1998,AR,05,South,1,3,3,128,3,1
1998,AR,05,South,1,3,3,138,3,1
1998,AR,05,South,1,5,0,128,5,2
1998,AR,05,South,1,7,2,128,7,1
1998,AR,05,South,1,7,3,128,7,2
1998,AZ,04,West,0,0,0,0,0,1
1998,AZ,04,West,0,1,0,0,1,2
1998,AZ,04,West,0,1,0,2,1,1
1998,AZ,04,West,0,1,0,9,1,1
1998,AZ,04,West,0,1,0,10,1,1
1998,AZ,04,West,0,1,0,11,1,1
1998,AZ,04,West,0,1,0,128,1,10
1998,AZ,04,West,0,1,0,130,1,3
1998,AZ,04,West,0,1,0,136,1,2
1998,AZ,04,West,0,3,0,8,3,1
1998,AZ,04,West,0,3,0,10,3,1
1998,AZ,04,West,0,3,0,11,3,1
1998,AZ,04,West,0,3,1,11,3,1
1998,AZ,04,West,0,3,1,128,3,3
1998,AZ,04,West,0,3,1,128,19,2
1998,AZ,04,West,0,3,1,129,3,1
1998,AZ,04,West,0,3,1,130,3,2
1998,AZ,04,West,0,3,1,136,3,1
1998,AZ,04,West,0,3,2,128,3,2
1998,AZ,04,West,1,1,0,0,1,8
1998,AZ,04,West,1,1,0,2,1,1
1998,AZ,04,West,1,1,0,8,1,1
1998,AZ,04,West,1,1,0,10,1,1
1998,AZ,04,West,1,1,0,128,1,33
1998,AZ,04,West,1,1,0,130,1,4
1998,AZ,04,West,1,1,0,131,1,2
1998,AZ,04,West,1,1,0,136,1,3
1998,AZ,04,West,1,1,0,138,1,3
1998,AZ,04,West,1,1,0,139,1,1
1998,AZ,04,West,1,1,1,138,1,1
1998,AZ,04,West,1,3,1,0,3,5
1998,AZ,04,West,1,3,1,2,3,1
1998,AZ,04,West,1,3,1,8,3,1
1998,AZ,04,West,1,3,1,8,19,1
1998,AZ,04,West,1,3,1,10,3,1
1998,AZ,04,West,1,3,1,128,3,4
1998,AZ,04,West,1,3,1,128,19,1
1998,AZ,04,West,1,3,1,130,3,3
1998,AZ,04,West,1,3,1,131,3,1
1998,AZ,04,West,1,3,1,136,3,1
1998,AZ,04,West,1,3,1,139,19,1
1998,AZ,04,West,1,3,2,0,3,1
1998,AZ,04,West,1,3,2,128,3,1
1998,AZ,04,West,1,3,2,136,3,2
1998,AZ,04,West,1,3,3,11,19,1
1998,AZ,04,West,1,3,3,128,3,1
1998,AZ,04,West,1,5,0,0,5,3
1998,AZ,04,West,1,5,0,128,5,1
1998,AZ,04,West,1,7,3,136,7,1
1998,CA,06,West,0,0,0,0,0,8
1998,CA,06,West,0,1,0,0,1,37
1998,CA,06,West,0,1,0,2,1,5
1998,CA,06,West,0,1,0,8,1,3
1998,CA,06,West,0,1,0,128,1,235
1998,CA,06,West,0,1,0,129,1,1
1998,CA,06,West,0,1,0,130,1,29
1998,CA,06,West,0,1,0,136,1,25
1998,CA,06,West,0,1,0,137,1,1
1998,CA,06,West,0,1,0,138,1,8
1998,CA,06,West,0,1,0,139,1,1
1998,CA,06,West,0,1,1,128,1,1
