characteristic,harmonized_value,harmonized_label,original_code,notes
ownership,private_unspecified,Private (type unspecified),PVT,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
ownership,private_nonprofit,Private nonprofit,PVTN,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
ownership,private_forprofit,Private for-profit,PVTP,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
ownership,local_government,Local/county government,LCCG,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
ownership,state_government,State government,STG,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
ownership,tribal_government,Tribal government,TBG,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
ownership,federal_dod,Federal: Department of Defense,DDF,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
ownership,federal_dod,Federal: Department of Defense,DoD,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
ownership,federal_other,Federal: other/unspecified,FED,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
ownership,federal_ihs,Federal: Indian Health Service,IH,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
ownership,federal_ihs,Federal: Indian Health Service,IHS,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
ownership,federal_va,Federal: Veterans Affairs,VAMC,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
center_type,substance_use,Substance use treatment,SA,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
center_type,substance_use,Substance use treatment,TX,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
center_type,detoxification,Detoxification,DT,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
center_type,transitional_housing,Transitional housing/halfway house,HH,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
center_type,mental_health,Mental health treatment,MH,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
center_type,cooccurring,Co-occurring mental health and substance use,SUMH,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
setting,outpatient,Outpatient,OD,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
setting,outpatient,Outpatient,ODT,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
setting,outpatient,Outpatient,OIT,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
setting,outpatient,Outpatient,OMB,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
setting,outpatient,Outpatient,OP,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
setting,outpatient,Outpatient,ORT,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
setting,outpatient,Outpatient,PH,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
setting,residential,Residential,RD,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
setting,residential,Residential,RES,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
setting,residential,Residential,RL,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
setting,residential,Residential,RS,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
setting,hospital_inpatient,Hospital inpatient,HI,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
setting,hospital_inpatient,Hospital inpatient,HID,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
setting,hospital_inpatient,Hospital inpatient,HIT,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
payment,medicare,Medicare,MC,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
payment,medicaid,Medicaid,MD,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
payment,military_insurance,Military insurance,MI,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
payment,military_insurance,Military insurance,TRICARE,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
payment,private_insurance,Private health insurance,PI,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
payment,self_pay,Cash or self-payment,CASH,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
payment,self_pay,Cash or self-payment,SF,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
payment,state_financed,State-financed insurance,SI,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
payment,payment_assistance,Payment assistance,OA,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
payment,payment_assistance,Payment assistance,PA,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
payment,sliding_fee,Sliding fee scale,SS,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
service_family,substance_use_treatment,Substance use treatment,SA,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
service_family,substance_use_treatment,Substance use treatment,TX,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
service_family,detoxification,Detoxification,DT,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
service_family,transitional_housing,Transitional housing/halfway house,HH,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
service_family,cooccurring,Co-occurring mental health and substance use treatment,SUMH,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
service_family,outpatient_treatment,Outpatient treatment,OIT,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
service_family,outpatient_treatment,Outpatient treatment,OMB,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
service_family,outpatient_treatment,Outpatient treatment,OP,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
service_family,outpatient_treatment,Outpatient treatment,ORT,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
service_family,outpatient_treatment,Outpatient treatment,PH,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
service_family,residential_treatment,Residential treatment,RES,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
service_family,residential_treatment,Residential treatment,RL,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
service_family,residential_treatment,Residential treatment,RS,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
service_family,hospital_inpatient,Hospital inpatient treatment,HI,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
service_family,hospital_inpatient,Hospital inpatient treatment,HID,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
service_family,hospital_inpatient,Hospital inpatient treatment,HIT,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
service_family,opioid_treatment_program,SAMHSA-certified opioid treatment program,OTP,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
service_family,methadone,Methadone services,DM,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
service_family,methadone,Methadone services,MM,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
service_family,methadone,Methadone services,MU,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
service_family,buprenorphine,Buprenorphine services,BU,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
service_family,buprenorphine,Buprenorphine services,BUM,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
service_family,buprenorphine,Buprenorphine services,UB,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
service_family,naltrexone,Naltrexone services,NU,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
service_family,naltrexone,Naltrexone services,NXN,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
service_family,naltrexone,Naltrexone services,VTRL,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
service_family,telehealth,Telehealth/telemedicine,TELE,Conservative dashboard harmonization; consult the year-specific original code label before trend use.
