survey_year,metric,series,label,facility_count,available
1998,total,total,All facilities,10068,True
1998,otp_status,otp,OTP,,False
1998,otp_status,non_otp,Non-OTP,,False
1998,ownership,private_nonprofit,Nonprofit,,False
1998,ownership,private_forprofit,For-profit,,False
1998,ownership,government,Government,,False
1998,setting,outpatient,Outpatient,1481,True
1998,setting,residential,Residential,792,True
1998,setting,hospital_inpatient,Hospital inpatient,2,True
1999,total,total,All facilities,9667,True
1999,otp_status,otp,OTP,,False
1999,otp_status,non_otp,Non-OTP,,False
1999,ownership,private_nonprofit,Nonprofit,,False
1999,ownership,private_forprofit,For-profit,,False
1999,ownership,government,Government,16,True
1999,setting,outpatient,Outpatient,7577,True
1999,setting,residential,Residential,3,True
1999,setting,hospital_inpatient,Hospital inpatient,363,True
2000,total,total,All facilities,11020,True
2000,otp_status,otp,OTP,,False
2000,otp_status,non_otp,Non-OTP,,False
2000,ownership,private_nonprofit,Nonprofit,,False
2000,ownership,private_forprofit,For-profit,,False
2000,ownership,government,Government,,False
2000,setting,outpatient,Outpatient,8941,True
2000,setting,residential,Residential,2,True
2000,setting,hospital_inpatient,Hospital inpatient,781,True
2002,total,total,All facilities,11477,True
2002,otp_status,otp,OTP,,False
2002,otp_status,non_otp,Non-OTP,,False
2002,ownership,private_nonprofit,Nonprofit,,False
2002,ownership,private_forprofit,For-profit,,False
2002,ownership,government,Government,,False
2002,setting,outpatient,Outpatient,9301,True
2002,setting,residential,Residential,3,True
2002,setting,hospital_inpatient,Hospital inpatient,856,True
2003,total,total,All facilities,9907,True
2003,otp_status,otp,OTP,,False
2003,otp_status,non_otp,Non-OTP,,False
2003,ownership,private_nonprofit,Nonprofit,,False
2003,ownership,private_forprofit,For-profit,,False
2003,ownership,government,Government,20,True
2003,setting,outpatient,Outpatient,7633,True
2003,setting,residential,Residential,2252,True
2003,setting,hospital_inpatient,Hospital inpatient,529,True
2004,total,total,All facilities,10887,True
2004,otp_status,otp,OTP,,False
2004,otp_status,non_otp,Non-OTP,,False
2004,ownership,private_nonprofit,Nonprofit,,False
2004,ownership,private_forprofit,For-profit,,False
2004,ownership,government,Government,,False
2004,setting,outpatient,Outpatient,8912,True
2004,setting,residential,Residential,2916,True
2004,setting,hospital_inpatient,Hospital inpatient,768,True
2005,total,total,All facilities,10633,True
2005,otp_status,otp,OTP,,False
2005,otp_status,non_otp,Non-OTP,,False
2005,ownership,private_nonprofit,Nonprofit,,False
2005,ownership,private_forprofit,For-profit,,False
2005,ownership,government,Government,,False
2005,setting,outpatient,Outpatient,8784,True
2005,setting,residential,Residential,2827,True
2005,setting,hospital_inpatient,Hospital inpatient,690,True
2006,total,total,All facilities,10825,True
2006,otp_status,otp,OTP,,False
2006,otp_status,non_otp,Non-OTP,,False
2006,ownership,private_nonprofit,Nonprofit,,False
2006,ownership,private_forprofit,For-profit,,False
2006,ownership,government,Government,,False
2006,setting,outpatient,Outpatient,8940,True
2006,setting,residential,Residential,2899,True
2006,setting,hospital_inpatient,Hospital inpatient,650,True
2007,total,total,All facilities,11124,True
2007,otp_status,otp,OTP,,False
2007,otp_status,non_otp,Non-OTP,,False
2007,ownership,private_nonprofit,Nonprofit,,False
2007,ownership,private_forprofit,For-profit,,False
2007,ownership,government,Government,,False
2007,setting,outpatient,Outpatient,9086,True
2007,setting,residential,Residential,2935,True
2007,setting,hospital_inpatient,Hospital inpatient,704,True
2008,total,total,All facilities,11127,True
2008,otp_status,otp,OTP,,False
2008,otp_status,non_otp,Non-OTP,,False
2008,ownership,private_nonprofit,Nonprofit,,False
2008,ownership,private_forprofit,For-profit,,False
2008,ownership,government,Government,,False
2008,setting,outpatient,Outpatient,9093,True
2008,setting,residential,Residential,2866,True
2008,setting,hospital_inpatient,Hospital inpatient,612,True
2009,total,total,All facilities,11117,True
2009,otp_status,otp,OTP,,False
2009,otp_status,non_otp,Non-OTP,,False
2009,ownership,private_nonprofit,Nonprofit,,False
2009,ownership,private_forprofit,For-profit,,False
2009,ownership,government,Government,,False
2009,setting,outpatient,Outpatient,9116,True
2009,setting,residential,Residential,2795,True
2009,setting,hospital_inpatient,Hospital inpatient,620,True
2010,total,total,All facilities,11150,True
2010,otp_status,otp,OTP,,False
2010,otp_status,non_otp,Non-OTP,,False
2010,ownership,private_nonprofit,Nonprofit,,False
2010,ownership,private_forprofit,For-profit,,False
2010,ownership,government,Government,,False
2010,setting,outpatient,Outpatient,9176,True
2010,setting,residential,Residential,2767,True
2010,setting,hospital_inpatient,Hospital inpatient,597,True
2011,total,total,All facilities,11410,True
2011,otp_status,otp,OTP,,False
2011,otp_status,non_otp,Non-OTP,,False
2011,ownership,private_nonprofit,Nonprofit,,False
2011,ownership,private_forprofit,For-profit,,False
2011,ownership,government,Government,,False
2011,setting,outpatient,Outpatient,9400,True
2011,setting,residential,Residential,2800,True
2011,setting,hospital_inpatient,Hospital inpatient,588,True
2012,total,total,All facilities,11576,True
2012,otp_status,otp,OTP,,False
2012,otp_status,non_otp,Non-OTP,,False
2012,ownership,private_nonprofit,Nonprofit,,False
2012,ownership,private_forprofit,For-profit,,False
2012,ownership,government,Government,507,True
2012,setting,outpatient,Outpatient,9559,True
2012,setting,residential,Residential,2822,True
2012,setting,hospital_inpatient,Hospital inpatient,598,True
2013,total,total,All facilities,11359,True
2013,otp_status,otp,OTP,,False
2013,otp_status,non_otp,Non-OTP,,False
2013,ownership,private_nonprofit,Nonprofit,,False
2013,ownership,private_forprofit,For-profit,,False
2013,ownership,government,Government,661,True
2013,setting,outpatient,Outpatient,9392,True
2013,setting,residential,Residential,2694,True
2013,setting,hospital_inpatient,Hospital inpatient,588,True
2014,total,total,All facilities,11813,True
2014,otp_status,otp,OTP,1,True
2014,otp_status,non_otp,Non-OTP,11812,True
2014,ownership,private_nonprofit,Nonprofit,,False
2014,ownership,private_forprofit,For-profit,,False
2014,ownership,government,Government,702,True
2014,setting,outpatient,Outpatient,9822,True
2014,setting,residential,Residential,2806,True
2014,setting,hospital_inpatient,Hospital inpatient,586,True
2015,total,total,All facilities,11610,True
2015,otp_status,otp,OTP,1171,True
2015,otp_status,non_otp,Non-OTP,10439,True
2015,ownership,private_nonprofit,Nonprofit,,False
2015,ownership,private_forprofit,For-profit,,False
2015,ownership,government,Government,1654,True
2015,setting,outpatient,Outpatient,9572,True
2015,setting,residential,Residential,2798,True
2015,setting,hospital_inpatient,Hospital inpatient,593,True
2016,total,total,All facilities,11927,True
2016,otp_status,otp,OTP,1225,True
2016,otp_status,non_otp,Non-OTP,10702,True
2016,ownership,private_nonprofit,Nonprofit,,False
2016,ownership,private_forprofit,For-profit,,False
2016,ownership,government,Government,920,True
2016,setting,outpatient,Outpatient,8325,True
2016,setting,residential,Residential,2488,True
2016,setting,hospital_inpatient,Hospital inpatient,472,True
2017,total,total,All facilities,12069,True
2017,otp_status,otp,OTP,1247,True
2017,otp_status,non_otp,Non-OTP,10822,True
2017,ownership,private_nonprofit,Nonprofit,,False
2017,ownership,private_forprofit,For-profit,,False
2017,ownership,government,Government,1173,True
2017,setting,outpatient,Outpatient,9957,True
2017,setting,residential,Residential,2778,True
2017,setting,hospital_inpatient,Hospital inpatient,575,True
2018,total,total,All facilities,13313,True
2018,otp_status,otp,OTP,1523,True
2018,otp_status,non_otp,Non-OTP,11790,True
2018,ownership,private_nonprofit,Nonprofit,6868,True
2018,ownership,private_forprofit,For-profit,5115,True
2018,ownership,government,Government,1250,True
2018,setting,outpatient,Outpatient,11109,True
2018,setting,residential,Residential,3063,True
2018,setting,hospital_inpatient,Hospital inpatient,669,True
2019,total,total,All facilities,14069,True
2019,otp_status,otp,OTP,1633,True
2019,otp_status,non_otp,Non-OTP,12436,True
2019,ownership,private_nonprofit,Nonprofit,7136,True
2019,ownership,private_forprofit,For-profit,5586,True
2019,ownership,government,Government,1257,True
2019,setting,outpatient,Outpatient,11575,True
2019,setting,residential,Residential,3298,True
2019,setting,hospital_inpatient,Hospital inpatient,739,True
2020,total,total,All facilities,14189,True
2020,otp_status,otp,OTP,1686,True
2020,otp_status,non_otp,Non-OTP,12503,True
2020,ownership,private_nonprofit,Nonprofit,7081,True
2020,ownership,private_forprofit,For-profit,5798,True
2020,ownership,government,Government,1224,True
2020,setting,outpatient,Outpatient,11701,True
2020,setting,residential,Residential,3391,True
2020,setting,hospital_inpatient,Hospital inpatient,748,True
2021,total,total,All facilities,12114,True
2021,otp_status,otp,OTP,1495,True
2021,otp_status,non_otp,Non-OTP,10619,True
2021,ownership,private_nonprofit,Nonprofit,6195,True
2021,ownership,private_forprofit,For-profit,4864,True
2021,ownership,government,Government,1038,True
2021,setting,outpatient,Outpatient,9928,True
2021,setting,residential,Residential,2843,True
2021,setting,hospital_inpatient,Hospital inpatient,635,True
2022,total,total,All facilities,12677,True
2022,otp_status,otp,OTP,1565,True
2022,otp_status,non_otp,Non-OTP,11112,True
2022,ownership,private_nonprofit,Nonprofit,6241,True
2022,ownership,private_forprofit,For-profit,5321,True
2022,ownership,government,Government,1106,True
2022,setting,outpatient,Outpatient,10469,True
2022,setting,residential,Residential,3014,True
2022,setting,hospital_inpatient,Hospital inpatient,809,True
2023,total,total,All facilities,12146,True
2023,otp_status,otp,OTP,1459,True
2023,otp_status,non_otp,Non-OTP,10687,True
2023,ownership,private_nonprofit,Nonprofit,5955,True
2023,ownership,private_forprofit,For-profit,5176,True
2023,ownership,government,Government,979,True
2023,setting,outpatient,Outpatient,10174,True
2023,setting,residential,Residential,2887,True
2023,setting,hospital_inpatient,Hospital inpatient,753,True
2024,total,total,All facilities,13404,True
2024,otp_status,otp,OTP,1585,True
2024,otp_status,non_otp,Non-OTP,11819,True
2024,ownership,private_nonprofit,Nonprofit,6524,True
2024,ownership,private_forprofit,For-profit,5687,True
2024,ownership,government,Government,1162,True
2024,setting,outpatient,Outpatient,11219,True
2024,setting,residential,Residential,3149,True
2024,setting,hospital_inpatient,Hospital inpatient,911,True
