"survey_year","ownership","facility_count","ownership_share","classified_facilities","missing_ownership","source","comparability_segment","universe"
1998,"For-profit",2733,0.278366266041964,9818,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
1998,"Nonprofit",5631,0.573538398859238,9818,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
1998,"Government",1454,0.148095335098798,9818,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2000,"For-profit",3010,0.266725742135578,11285,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2000,"Nonprofit",6700,0.593708462560922,11285,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2000,"Government",1575,0.1395657953035,11285,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2002,"For-profit",2928,0.253112033195021,11568,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2002,"Nonprofit",7052,0.609612724757953,11568,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2002,"Government",1588,0.137275242047026,11568,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2003,"For-profit",3068,0.26211020931226,11705,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2003,"Nonprofit",7024,0.600085433575395,11705,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2003,"Government",1613,0.137804357112345,11705,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2004,"For-profit",3145,0.269494430162811,11670,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2004,"Nonprofit",6929,0.593744644387318,11670,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2004,"Government",1596,0.136760925449871,11670,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2005,"For-profit",3246,0.278006166495375,11676,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2005,"Nonprofit",6864,0.587872559095581,11676,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2005,"Government",1566,0.134121274409044,11676,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2006,"For-profit",3503,0.289815504260776,12087,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2006,"Nonprofit",7059,0.584015884834947,12087,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2006,"Government",1525,0.126168610904277,12087,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2007,"For-profit",3592,0.296320739151955,12122,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2007,"Nonprofit",6956,0.573832700874443,12122,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2007,"Government",1574,0.129846559973602,12122,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2008,"For-profit",3708,0.303089749877391,12234,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2008,"Nonprofit",7020,0.573810691515449,12234,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2008,"Government",1506,0.12309955860716,12234,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2009,"For-profit",3683,0.302903199276256,12159,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2009,"Nonprofit",6983,0.57430709762316,12159,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2009,"Government",1493,0.122789703100584,12159,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
