directory_year,survey_year,census_region,facility_count
1998,1998,Midwest,2358
1998,1998,Northeast,2397
1998,1998,South,2799
1998,1998,West,2514
2000,1999,Midwest,1931
2000,1999,Northeast,2296
2000,1999,South,2720
2000,1999,West,2720
2001,2000,Midwest,2642
2001,2000,Northeast,2566
2001,2000,South,3019
2001,2000,West,2793
2003,2002,Midwest,2869
2003,2002,Northeast,2577
2003,2002,South,2972
2003,2002,West,3059
2004,2003,Midwest,2380
2004,2003,Northeast,2162
2004,2003,South,2619
2004,2003,West,2746
2005,2004,Midwest,2730
2005,2004,Northeast,2286
2005,2004,South,2849
2005,2004,West,3022
2006,2005,Midwest,2676
2006,2005,Northeast,2211
2006,2005,South,2772
2006,2005,West,2974
2007,2006,Midwest,2733
2007,2006,Northeast,2211
2007,2006,South,2811
2007,2006,West,3070
2008,2007,Midwest,2825
2008,2007,Northeast,2267
2008,2007,South,2890
2008,2007,West,3142
2009,2008,Midwest,2777
2009,2008,Northeast,2270
2009,2008,South,2899
2009,2008,West,3181
2010,2009,Midwest,2770
2010,2009,Northeast,2263
2010,2009,South,2870
2010,2009,West,3214
2011,2010,Midwest,2792
2011,2010,Northeast,2322
2011,2010,South,2856
2011,2010,West,3180
2012,2011,Midwest,2868
2012,2011,Northeast,2282
2012,2011,South,3057
2012,2011,West,3203
2013,2012,Midwest,2847
2013,2012,Northeast,2313
2013,2012,South,3105
2013,2012,West,3311
2014,2013,Midwest,2758
2014,2013,Northeast,2269
2014,2013,South,3144
2014,2013,West,3188
2015,2014,Midwest,2882
2015,2014,Northeast,2385
2015,2014,South,3278
2015,2014,West,3268
2016,2015,Midwest,2851
2016,2015,Northeast,2315
2016,2015,South,3300
2016,2015,West,3144
2017,2016,Midwest,2931
2017,2016,Northeast,2416
2017,2016,South,3458
2017,2016,West,3122
2018,2017,Midwest,3005
2018,2017,Northeast,2438
2018,2017,South,3469
2018,2017,West,3157
2019,2018,Midwest,3262
2019,2018,Northeast,2643
2019,2018,South,3897
2019,2018,West,3511
2020,2019,Midwest,3465
2020,2019,Northeast,2710
2020,2019,South,4046
2020,2019,West,3848
2021,2020,Midwest,3470
2021,2020,Northeast,2697
2021,2020,South,4204
2021,2020,West,3818
1998,1998,"PNW (WA, OR, ID)",517
2000,1999,"PNW (WA, OR, ID)",496
2001,2000,"PNW (WA, OR, ID)",493
2003,2002,"PNW (WA, OR, ID)",511
2004,2003,"PNW (WA, OR, ID)",478
2005,2004,"PNW (WA, OR, ID)",545
2006,2005,"PNW (WA, OR, ID)",574
2007,2006,"PNW (WA, OR, ID)",612
2008,2007,"PNW (WA, OR, ID)",641
2009,2008,"PNW (WA, OR, ID)",666
2010,2009,"PNW (WA, OR, ID)",669
2011,2010,"PNW (WA, OR, ID)",685
2012,2011,"PNW (WA, OR, ID)",712
2013,2012,"PNW (WA, OR, ID)",711
2014,2013,"PNW (WA, OR, ID)",701
2015,2014,"PNW (WA, OR, ID)",731
2016,2015,"PNW (WA, OR, ID)",683
2017,2016,"PNW (WA, OR, ID)",672
2018,2017,"PNW (WA, OR, ID)",670
2019,2018,"PNW (WA, OR, ID)",762
2020,2019,"PNW (WA, OR, ID)",744
2021,2020,"PNW (WA, OR, ID)",737
