directory_year,survey_year,state,census_region,census_division,facility_count,warning_count,state_fips,warning_share
1998,1998,AK,West,Pacific,58,13,02,0.22413793103448276
1998,1998,AL,South,East South Central,59,6,01,0.1016949152542373
1998,1998,AR,South,West South Central,63,11,05,0.1746031746031746
1998,1998,AZ,West,Mountain,126,23,04,0.18253968253968253
1998,1998,CA,West,Pacific,1264,77,06,0.06091772151898734
1998,1998,CO,West,Mountain,203,7,08,0.034482758620689655
1998,1998,CT,Northeast,New England,184,20,09,0.10869565217391304
1998,1998,DC,South,South Atlantic,53,3,11,0.05660377358490566
1998,1998,DE,South,South Atlantic,41,10,10,0.24390243902439024
1998,1998,FL,South,South Atlantic,446,38,12,0.08520179372197309
1998,1998,GA,South,South Atlantic,167,16,13,0.09580838323353294
1998,1998,HI,West,Pacific,34,15,15,0.4411764705882353
1998,1998,IA,Midwest,West North Central,87,15,19,0.1724137931034483
1998,1998,ID,West,Mountain,41,5,16,0.12195121951219512
1998,1998,IL,Midwest,East North Central,477,42,17,0.0880503144654088
1998,1998,IN,Midwest,East North Central,262,7,18,0.026717557251908396
1998,1998,KS,Midwest,West North Central,132,13,20,0.09848484848484848
1998,1998,KY,South,East South Central,266,46,21,0.17293233082706766
1998,1998,LA,South,West South Central,117,8,22,0.06837606837606838
1998,1998,MA,Northeast,New England,255,28,25,0.10980392156862745
1998,1998,MD,South,South Atlantic,282,33,24,0.11702127659574468
1998,1998,ME,Northeast,New England,153,37,23,0.24183006535947713
1998,1998,MI,Midwest,East North Central,278,13,26,0.046762589928057555
1998,1998,MN,Midwest,West North Central,247,25,27,0.10121457489878542
1998,1998,MO,Midwest,West North Central,144,15,29,0.10416666666666667
1998,1998,MS,South,East South Central,54,4,28,0.07407407407407407
1998,1998,MT,West,Mountain,40,5,30,0.125
1998,1998,NC,South,South Atlantic,180,16,37,0.08888888888888889
1998,1998,ND,Midwest,West North Central,43,8,38,0.18604651162790697
1998,1998,NE,Midwest,West North Central,110,9,31,0.08181818181818182
1998,1998,NH,Northeast,New England,48,13,33,0.2708333333333333
1998,1998,NJ,Northeast,Middle Atlantic,190,34,34,0.17894736842105263
1998,1998,NM,West,Mountain,82,22,35,0.2682926829268293
1998,1998,NV,West,Mountain,45,4,32,0.08888888888888889
1998,1998,NY,Northeast,Middle Atlantic,1061,201,36,0.18944392082940623
1998,1998,OH,Midwest,East North Central,461,33,39,0.07158351409978309
1998,1998,OK,South,West South Central,138,14,40,0.10144927536231885
1998,1998,OR,West,Pacific,174,18,41,0.10344827586206896
1998,1998,PA,Northeast,Middle Atlantic,462,58,42,0.12554112554112554
1998,1998,RI,Northeast,New England,26,1,44,0.038461538461538464
1998,1998,SC,South,South Atlantic,62,10,45,0.16129032258064516
1998,1998,SD,Midwest,West North Central,45,7,46,0.15555555555555556
