"Title: Hospitals by Ownership Type | KFF"
"Timeframe: 1999 - 2023"
"Location","1999__State/Local Government","1999__Non-Profit","1999__For-Profit","2000__State/Local Government","2000__Non-Profit","2000__For-Profit","2001__State/Local Government","2001__Non-Profit","2001__For-Profit","2002__State/Local Government","2002__Non-Profit","2002__For-Profit","2003__State/Local Government","2003__Non-Profit","2003__For-Profit","2004__State/Local Government","2004__Non-Profit","2004__For-Profit","2005__State/Local Government","2005__Non-Profit","2005__For-Profit","2006__State/Local Government","2006__Non-Profit","2006__For-Profit","2007__State/Local Government","2007__Non-Profit","2007__For-Profit","2008__State/Local Government","2008__Non-Profit","2008__For-Profit","2009__State/Local Government","2009__Non-Profit","2009__For-Profit","2010__State/Local Government","2010__Non-Profit","2010__For-Profit","2011__State/Local Government","2011__Non-Profit","2011__For-Profit","2012__State/Local Government","2012__Non-Profit","2012__For-Profit","2013__State/Local Government","2013__Non-Profit","2013__For-Profit","2014__State/Local Government","2014__Non-Profit","2014__For-Profit","2015__State/Local Government","2015__Non-Profit","2015__For-Profit","2016__State/Local Government","2016__Non-Profit","2016__For-Profit","2017__State/Local Government","2017__Non-Profit","2017__For-Profit","2018__State/Local Government","2018__Non-Profit","2018__For-Profit","2019__State/Local Government","2019__Non-Profit","2019__For-Profit","2020__State/Local Government","2020__Non-Profit","2020__For-Profit","2021__State/Local Government","2021__Non-Profit","2021__For-Profit","2022__State/Local Government","2022__Non-Profit","2022__For-Profit","2023__State/Local Government","2023__Non-Profit","2023__For-Profit"
"United States","0.242","0.607748184","0.150726392","0.237","0.610986775","0.152390641","0.236","0.610839446","0.153626732","0.231","0.613963873","0.15546986","0.229","0.609601634","0.161389173","0.227","0.603171376","0.169749949","0.2248784441","0.599270665","0.175850891","0.227","0.592","0.18","0.227","0.594853992","0.178272412","0.221","0.583433134","0.196007984","0.2180511182","0.5826677316","0.1992811502","0.214","0.583","0.203","0.210134728","0.583752262","0.20611301","0.207","0.579","0.214","0.203","0.584","0.213","0.204","0.583","0.214","0.202","0.585","0.213","0.198","0.589","0.214","0.185","0.564","0.251","0.186","0.565","0.249","0.187","0.573","0.24","0.185","0.576","0.239","0.183","0.577","0.239","0.18","0.582","0.238","0.1799687011","0.5825508607","0.2374804382"
"Alabama","0.394495413","0.366972477","0.23853211","0.37037037","0.361111111","0.268518519","0.373831776","0.345794393","0.280373832","0.339622642","0.330188679","0.330188679","0.345794393","0.327102804","0.327102804","0.342592593","0.324074074","0.333333333","0.3577981651","0.28440367","0.357798165","0.3761","0.2385","0.3853","0.385321101","0.247706422","0.366972477","0.385321101","0.247706422","0.366972477","0.3888888889","0.2407407407","0.3703703704","0.380952381","0.228571429","0.39047619","0.382352941","0.235294118","0.382352941","0.392","0.247","0.361","0.402","0.247","0.351","0.417","0.24","0.344","0.4","0.211","0.389","0.411","0.2","0.389","0.353","0.275","0.373","0.366","0.297","0.337","0.356","0.317","0.327","0.347","0.327","0.327","0.343","0.324","0.333","0.343","0.324","0.333","0.37","0.33","0.3"
"Alaska","0.411764706","0.529411765","0.058823529","0.388888889","0.555555556","0.055555556","0.421052632","0.526315789","0.052631579","0.368421053","0.578947368","0.052631579","0.368421053","0.526315789","0.105263158","0.368421053","0.526315789","0.105263158","0.3181818182","0.590909091","0.090909091","0.3182","0.5909","0.0909","0.318181818","0.590909091","0.090909091","0.318181818","0.590909091","0.090909091","0.2727272727","0.6363636364","0.09090909091","0.318181818","0.590909091","0.090909091","0.304347826","0.608695652","0.086956522","0.304","0.609","0.087","0.318","0.591","0.091","0.318","0.591","0.091","0.333","0.524","0.143","0.333","0.524","0.143","0.286","0.571","0.143","0.333","0.524","0.143","0.3","0.55","0.15","0.25","0.6","0.15","0.25","0.65","0.1","0.2","0.7","0.1","0.2105263158","0.6842105263","0.1052631579"
"Arizona","0.098360656","0.655737705","0.245901639","0.081967213","0.606557377","0.31147541","0.06557377","0.606557377","0.327868852","0.081967213","0.606557377","0.31147541","0.081967213","0.62295082","0.295081967","0.080645161","0.612903226","0.306451613","0.07462686567","0.597014925","0.328358209","0.0758","0.6212","0.303","0.060606061","0.651515152","0.287878788","0.056338028","0.61971831","0.323943662","0.09722222222","0.5972222222","0.3055555556","0.068493151","0.630136986","0.301369863","0.057142857","0.671428571","0.271428571","0.056","0.639","0.306","0.056","0.653","0.292","0.056","0.639","0.306","0.056","0.62","0.324","0.057","0.586","0.357","0.06","0.518","0.422","0.048","0.518","0.434","0.05","0.538","0.413","0.049","0.531","0.42","0.048","0.524","0.429","0.057","0.506","0.437","0.04597701149","0.5172413793","0.4367816092"
"Arkansas","0.192771084","0.578313253","0.228915663","0.180722892","0.590361446","0.228915663","0.180722892","0.590361446","0.228915663","0.172413793","0.586206897","0.24137931","0.170454545","0.590909091","0.238636364","0.172413793","0.574712644","0.252873563","0.1764705882","0.552941176","0.270588235","0.1786","0.5357","0.2857","0.166666667","0.535714286","0.297619048","0.151162791","0.534883721","0.313953488","0.1744186047","0.523255814","0.3023255814","0.164705882","0.529411765","0.305882353","0.130952381","0.595238095","0.273809524","0.133","0.59","0.277","0.119","0.595","0.286","0.123","0.605","0.272","0.125","0.625","0.25","0.125","0.625","0.25","0.136","0.523","0.341","0.102","0.58","0.318","0.09","0.618","0.292","0.133","0.589","0.278","0.098","0.609","0.293","0.097","0.624","0.28","0.1052631579","0.6315789474","0.2631578947"
"California","0.184810127","0.562025316","0.253164557","0.18251928","0.575835476","0.241645244","0.1953125","0.572916667","0.231770833","0.193211488","0.566579634","0.240208877","0.191891892","0.559459459","0.248648649","0.199445983","0.55401662","0.246537396","0.1932773109","0.571428571","0.235294118","0.2129","0.5658","0.2213","0.2","0.571830986","0.228169014","0.201704545","0.573863636","0.224431818","0.2011661808","0.5889212828","0.2099125364","0.201166181","0.588921283","0.209912536","0.2","0.585507246","0.214492754","0.189","0.59","0.221","0.182","0.597","0.222","0.186","0.596","0.218","0.184","0.594","0.222","0.182","0.589","0.229","0.18","0.575","0.246","0.178","0.574","0.248","0.184","0.568","0.248","0.19","0.581","0.229","0.182","0.578","0.24","0.175","0.586","0.239","0.1699716714","0.5807365439","0.2492917847"
"Colorado","0.402985075","0.47761194","0.119402985","0.405797101","0.463768116","0.130434783","0.393939394","0.484848485","0.121212121","0.397058824","0.470588235","0.132352941","0.397058824","0.470588235","0.132352941","0.385714286","0.457142857","0.157142857","0.3802816901","0.464788732","0.154929577","0.3699","0.4795","0.1507","0.373333333","0.493333333","0.133333333","0.358974359","0.474358974","0.166666667","0.3456790123","0.4567901235","0.1975308642","0.3375","0.4625","0.2","0.329268293","0.463414634","0.207317073","0.317","0.476","0.207","0.305","0.488","0.207","0.305","0.488","0.207","0.309","0.481","0.21","0.304","0.506","0.19","0.292","0.461","0.247","0.303","0.483","0.213","0.289","0.511","0.2","0.297","0.505","0.198","0.286","0.527","0.187","0.272","0.543","0.185","0.2659574468","0.5319148936","0.2021276596"
"Connecticut","0.057142857","0.942857143","0","0.028571429","0.942857143","0.028571429","0.028571429","0.971428571","0","0.028571429","0.971428571","0","0.029411765","0.941176471","0.029411765","0.028571429","0.942857143","0.028571429","0.02777777778","0.944444444","0.027777778","0.0286","0.9429","0.0286","0.029411765","0.941176471","0.029411765","0.028571429","0.914285714","0.057142857","0.02857142857","0.9428571429","0.02857142857","0.029411765","0.941176471","0.029411765","0.028571429","0.942857143","0.028571429","0.029","0.941","0.029","0.03","0.939","0.03","0.031","0.938","0.031","0.031","0.938","0.031","0.031","0.938","0.031","0.031","0.969","0","0.031","0.969","0","0.032","0.935","0.032","0.032","0.935","0.032","0.032","0.935","0.032","0.032","0.935","0.032","0.03225806452","0.935483871","0.03225806452"
"Delaware","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0.857142857","0.142857143","0","0.8571428571","0.1428571429","0","0.857142857","0.142857143","0","0.857142857","0.142857143","0","0.857","0.143","0","0.857","0.143","0","0.857","0.143","0","0.857","0.143","0","0.857","0.143","0","0.875","0.125","0","0.857","0.143","0","0.857","0.143","0","0.857","0.143","0","0.75","0.25","0","0.75","0.25","N/A","0.6","0.4"
"District of Columbia","0.083333333","0.666666667","0.25","0","0.727272727","0.272727273","0","0.7","0.3","0","0.7","0.3","0","0.7","0.3","0","0.636363636","0.363636364","0","0.636363636","0.363636364","0","0.6364","0.3636","0","0.7","0.3","0","0.7","0.3","0","0.7","0.3","0.090909091","0.636363636","0.272727273","0.090909091","0.636363636","0.272727273","0.091","0.636","0.273","0.091","0.636","0.273","0","0.727","0.273","0","0.727","0.273","0","0.727","0.273","0","0.727","0.273","0","0.7","0.3","0","0.7","0.3","0","0.7","0.3","0","0.7","0.3","0","0.7","0.3","N/A","0.7","0.3"
